idx,name,team,position,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,hit,bat_num,hit_get,own_get
20240702010,로하스,KT,7,2000,0,0,7006,3000,0,1019,0,0,7006,1021,-,-,-,-,-,-,-,2,5,1,0
20240702010,강백호,KT,D,2000,0,0,1019,7100,0,7004,0,0,7002,2000,-,-,-,-,-,-,-,1,6,0,0
20240702010,배정대,KT,8,7104,0,0,7214,7400,0,0,1110,0,7101,0,-,-,-,-,-,-,-,1,5,0,0
20240702010,오재일,KT,3,0,2000,0,0,1013,2000,0,7407,0,0,1013,-,-,-,-,-,-,-,2,5,0,1
20240702010,박민석,KT,R,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,1
20240702010,문상철,KT,3,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0
20240702010,황재균,KT,5,0,7104,0,0,7006,7102,0,2000,0,0,1116,-,-,-,-,-,-,-,1,5,1,1
20240702010,김상수,KT,6,0,7003,0,0,3000,7102,0,7001,0,0,7101,-,-,-,-,-,-,-,0,4,0,1
20240702010,강현우,KT,2,0,0,7101,0,1301,0,2000,0,7101,0,1019,-,-,-,-,-,-,-,2,5,4,1
20240702010,홍현빈,KT,R9,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,1
20240702010,오윤석,KT,4,0,0,7001,0,1019,0,1021,0,7400,0,1019,-,-,-,-,-,-,-,3,5,0,0
20240702010,정준영,KT,9,0,0,2000,0,1020,0,7400,0,7107,0,0,-,-,-,-,-,-,-,1,4,0,0
20240702010,장성우,KT,H2,0,0,0,0,0,0,0,0,0,0,7005,-,-,-,-,-,-,-,0,1,0,0
20240702006,서건창,KIA,3,7006,0,7005,0,7005,0,7003,0,3000,7006,-,-,-,-,-,-,-,-,0,5,0,0
20240702006,소크라테스,KIA,7,2000,0,7004,0,7108,0,0,7006,1013,0,-,-,-,-,-,-,-,-,1,5,1,0
20240702006,박정우,KIA,78,0,0,0,0,0,0,0,0,0,1116,-,-,-,-,-,-,-,-,1,1,1,1
20240702006,김도영,KIA,5,1014,0,0,1302,0,0,0,0,0,0,-,-,-,-,-,-,-,-,2,2,1,1
20240702006,변우혁,KIA,5,0,0,0,0,0,3000,0,7107,7005,1013,-,-,-,-,-,-,-,-,1,3,1,0
20240702006,최형우,KIA,D,2000,0,0,2000,0,7006,0,1014,7100,7003,-,-,-,-,-,-,-,-,1,6,0,1
20240702006,나성범,KIA,9,0,7006,0,1110,0,7005,0,1300,0,1013,-,-,-,-,-,-,-,-,3,5,2,1
20240702006,이창진,KIA,R7,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,1
20240702006,김선빈,KIA,4,0,1019,0,7104,0,7102,0,1021,0,0,-,-,-,-,-,-,-,-,2,4,0,0
20240702006,홍종표,KIA,R4,0,0,0,0,0,0,0,0,0,4104,-,-,-,-,-,-,-,-,0,0,0,0
20240702006,최원준,KIA,89,0,7003,0,3000,0,0,1004,7006,0,1110,-,-,-,-,-,-,-,-,2,4,1,1
20240702006,김태군,KIA,2,0,7400,0,7102,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,2,0,0
20240702006,한준수,KIA,H2,0,0,0,0,0,0,7006,0,1111,1301,-,-,-,-,-,-,-,-,2,3,2,2
20240702006,박찬호,KIA,6,0,0,1020,0,7102,0,7001,0,7101,6001,-,-,-,-,-,-,-,-,1,5,0,1
20240702005,홍창기,LG,9,7101,0,1111,0,2000,0,0,7101,0,-,-,-,-,-,-,-,-,-,1,4,1,0
20240702005,신민재,LG,4,1021,0,1025,0,7100,0,0,7107,0,-,-,-,-,-,-,-,-,-,2,4,0,0
20240702005,김현수,LG,7,7005,0,7214,0,0,7100,0,7301,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240702005,안익훈,LG,7,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240702005,오스틴,LG,3,7005,0,0,1013,0,7003,0,0,7004,-,-,-,-,-,-,-,-,-,1,4,0,0
20240702005,박동원,LG,2,0,7104,0,2000,0,7003,0,0,3000,-,-,-,-,-,-,-,-,-,0,3,0,0
20240702005,김주성,LG,R,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240702005,문보경,LG,5,0,7006,0,7005,0,0,7005,0,1013,-,-,-,-,-,-,-,-,-,1,4,0,0
20240702005,김범석,LG,D,0,2000,0,2000,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,2,0,0
20240702005,문성주,LG,H,0,0,0,0,0,0,1021,0,0,-,-,-,-,-,-,-,-,-,1,1,0,0
20240702005,김대원,LG,R,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240702005,함창건,LG,H,0,0,0,0,0,0,0,0,7205,-,-,-,-,-,-,-,-,-,0,1,0,0
20240702005,구본혁,LG,6,0,0,1021,0,7102,0,2000,0,0,-,-,-,-,-,-,-,-,-,1,3,0,1
20240702005,박해민,LG,8,0,0,7004,0,1301,0,0,6001,0,-,-,-,-,-,-,-,-,-,1,3,1,1
20240703010,로하스,KT,7,2000,0,7001,0,0,1019,7102,0,7006,-,-,-,-,-,-,-,-,-,1,5,0,1
20240703010,강백호,KT,D,2000,0,2000,0,0,1014,0,1021,0,-,-,-,-,-,-,-,-,-,2,4,0,1
20240703010,장성우,KT,2,1019,0,0,2000,0,5004,0,1020,0,-,-,-,-,-,-,-,-,-,2,3,1,0
20240703010,박민석,KT,R,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240703010,강현우,KT,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240703010,오재일,KT,3,2000,0,0,7003,0,7100,0,1021,0,-,-,-,-,-,-,-,-,-,1,4,1,0
20240703010,배정대,KT,8,0,7104,0,7101,0,2000,0,4104,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240703010,황재균,KT,5,0,7101,0,0,7307,0,1303,3000,0,-,-,-,-,-,-,-,-,-,1,3,1,1
20240703010,김상수,KT,6,0,1117,0,0,2000,0,7104,7214,0,-,-,-,-,-,-,-,-,-,1,4,0,0
20240703010,오윤석,KT,4,0,7107,0,0,1019,0,1117,0,7102,-,-,-,-,-,-,-,-,-,2,4,0,0
20240703010,정준영,KT,9,0,0,2000,0,7104,0,0,0,0,-,-,-,-,-,-,-,-,-,0,2,0,0
20240703010,문상철,KT,H,0,0,0,0,0,0,7104,0,0,-,-,-,-,-,-,-,-,-,0,1,0,0
20240703010,홍현빈,KT,9,0,0,0,0,0,0,0,0,2000,-,-,-,-,-,-,-,-,-,0,1,0,0
20240703002,황성빈,롯데,8,2000,7102,0,7100,0,1013,1001,0,7107,-,-,-,-,-,-,-,-,-,2,6,0,2
20240703002,윤동희,롯데,9,2000,3000,0,1020,0,1015,7005,0,2000,-,-,-,-,-,-,-,-,-,2,5,0,1
20240703002,전준우,롯데,D,1303,1116,0,3000,0,2000,0,7006,7006,-,-,-,-,-,-,-,-,-,2,5,4,1
20240703002,레이예스,롯데,7,7101,7100,0,3000,0,3000,0,1116,0,-,-,-,-,-,-,-,-,-,1,3,0,1
20240703002,나승엽,롯데,3,0,3000,3000,2000,0,2000,0,1013,0,-,-,-,-,-,-,-,-,-,1,3,1,1
20240703002,최항,롯데,4,0,1021,2000,7104,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,3,0,1
20240703002,정훈,롯데,H,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240703002,이정훈,롯데,H,0,0,0,0,0,3000,0,0,0,-,-,-,-,-,-,-,-,-,0,0,1,0
20240703002,이학주,롯데,R6,0,0,0,0,0,0,0,3100,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240703002,박승욱,롯데,64,0,2000,2000,0,7006,2000,0,7006,0,-,-,-,-,-,-,-,-,-,0,5,0,0
20240703002,손성빈,롯데,2,0,3000,1019,0,2000,0,7104,7006,0,-,-,-,-,-,-,-,-,-,1,4,0,0
20240703002,정보근,롯데,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240703002,노진혁,롯데,5,0,1013,2000,0,7101,0,3000,0,0,-,-,-,-,-,-,-,-,-,1,3,2,1
20240703002,장두성,롯데,R,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240703002,오선진,롯데,5,0,0,0,0,0,0,0,0,1116,-,-,-,-,-,-,-,-,-,1,1,0,0
20240703006,김도영,KIA,5,1304,2000,0,2000,0,0,7104,7001,0,-,-,-,-,-,-,-,-,-,1,5,1,1
20240703006,박찬호,KIA,6,3000,0,3000,7005,0,0,1013,1204,0,-,-,-,-,-,-,-,-,-,2,3,1,2
20240703006,김선빈,KIA,4,7205,0,1020,0,7104,0,7107,7003,0,-,-,-,-,-,-,-,-,-,1,5,0,0
20240703006,홍종표,KIA,4,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240703006,나성범,KIA,D,1013,0,7107,0,2000,0,1117,0,2000,-,-,-,-,-,-,-,-,-,2,5,1,1
20240703006,소크라테스,KIA,87,7100,0,1013,0,1021,0,1019,0,7101,-,-,-,-,-,-,-,-,-,3,5,2,0
20240703006,이창진,KIA,7,0,7006,7209,0,7102,0,0,0,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240703006,최형우,KIA,H7,0,0,0,0,0,0,3200,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240703006,박정우,KIA,8,0,0,0,0,0,0,0,0,1021,-,-,-,-,-,-,-,-,-,1,1,0,0
20240703006,변우혁,KIA,3,0,2000,0,1013,0,7107,0,0,0,-,-,-,-,-,-,-,-,-,1,3,0,0
