idx,name,team,position,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,hit,bat_num,hit_get,own_get
20240402002,윤동희,롯데,8,2000,0,7101,0,1013,0,2000,0,2000,-,-,-,-,-,-,-,-,-,1,5,0,0
20240402002,정훈,롯데,3,7102,0,7006,0,7104,0,0,2000,7006,-,-,-,-,-,-,-,-,-,0,5,0,0
20240402002,레이예스,롯데,9,6002,0,0,2000,0,7102,0,1015,0,-,-,-,-,-,-,-,-,-,1,4,0,0
20240402002,황성빈,롯데,R7,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,1
20240402002,전준우,롯데,D,1013,0,0,1019,0,3000,0,3000,0,-,-,-,-,-,-,-,-,-,2,2,0,0
20240402002,유강남,롯데,2,7007,0,0,2000,0,2000,0,0,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240402002,노진혁,롯데,H,0,0,0,0,0,0,0,2000,0,-,-,-,-,-,-,-,-,-,0,1,0,0
20240402002,정보근,롯데,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240402002,손호영,롯데,45,0,1021,0,3100,0,7005,0,1019,0,-,-,-,-,-,-,-,-,-,2,3,1,0
20240402002,고승민,롯데,7,0,7100,0,2000,0,0,2000,0,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240402002,최항,롯데,4,0,0,0,0,0,0,0,3000,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240402002,이주찬,롯데,5,0,2000,0,0,7104,0,0,0,0,-,-,-,-,-,-,-,-,-,0,2,0,0
20240402002,박승욱,롯데,46,0,0,0,0,0,0,2000,7107,0,-,-,-,-,-,-,-,-,-,0,2,0,0
20240402002,이학주,롯데,6,0,0,2000,0,2000,0,1020,0,0,-,-,-,-,-,-,-,-,-,1,3,0,0
20240402002,장두성,롯데,R7,0,0,0,0,0,0,0,0,2000,-,-,-,-,-,-,-,-,-,0,1,0,0
20240402009,박민우,NC,4,7005,2000,0,0,2000,7006,0,7003,0,-,-,-,-,-,-,-,-,-,0,5,0,0
20240402009,권희동,NC,7,1019,0,7006,0,0,1117,1015,7104,0,-,-,-,-,-,-,-,-,-,3,5,0,1
20240402009,손아섭,NC,D,1019,0,2000,0,0,7107,7006,7005,0,-,-,-,-,-,-,-,-,-,1,5,0,1
20240402009,데이비슨,NC,3,2000,0,2000,0,0,7003,1019,0,2000,-,-,-,-,-,-,-,-,-,1,5,0,1
20240402009,박건우,NC,9,7003,0,0,7303,0,3000,1019,0,2000,-,-,-,-,-,-,-,-,-,1,4,1,1
20240402009,서호철,NC,5,0,2100,0,2000,0,1019,3100,0,3000,-,-,-,-,-,-,-,-,-,1,3,1,2
20240402009,김성욱,NC,8,0,1303,0,2000,0,1116,2000,0,1014,-,-,-,-,-,-,-,-,-,3,5,3,1
20240402009,김형준,NC,2,0,7100,0,0,7003,3000,3000,0,7104,-,-,-,-,-,-,-,-,-,0,3,1,0
20240402009,김주원,NC,6,0,2000,0,0,2000,3000,7003,0,0,-,-,-,-,-,-,-,-,-,0,3,1,0
20240402001,정수빈,두산,8,2000,1019,3000,0,2000,0,1021,0,0,-,-,-,-,-,-,-,-,-,2,4,0,0
20240402001,허경민,두산,5,1116,2000,7006,0,0,1013,0,7107,0,-,-,-,-,-,-,-,-,-,2,5,0,2
20240402001,라모스,두산,9,7005,0,7005,7006,0,6004,0,3000,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240402001,김재환,두산,D,3000,0,2000,2000,0,7306,0,7205,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240402001,양석환,두산,3,1116,0,1020,7305,0,1013,0,0,7003,-,-,-,-,-,-,-,-,-,3,5,2,1
20240402001,강승호,두산,4,7003,0,1202,0,2000,7005,0,0,7102,-,-,-,-,-,-,-,-,-,1,5,1,1
20240402001,김인태,두산,7,0,7104,3000,0,1301,7101,0,0,2000,-,-,-,-,-,-,-,-,-,1,4,1,2
20240402001,장승현,두산,2,0,1117,3000,0,7104,0,7104,0,0,-,-,-,-,-,-,-,-,-,1,3,0,0
20240402001,박준영,두산,6,0,2000,6001,0,3100,0,7001,0,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240402008,이주형,키움,8,7107,0,0,1019,1201,1019,0,0,0,-,-,-,-,-,-,-,-,-,3,4,0,2
20240402008,박수종,키움,R8,0,0,0,0,0,0,0,7102,0,-,-,-,-,-,-,-,-,-,0,1,0,1
20240402008,도슨,키움,7,7104,0,0,1301,3000,3000,0,0,7002,-,-,-,-,-,-,-,-,-,1,3,2,3
20240402008,김혜성,키움,4,7107,0,0,7101,1013,1202,0,0,1021,-,-,-,-,-,-,-,-,-,3,5,4,0
20240402008,최주환,키움,3,0,7006,0,7003,1013,7003,0,0,7100,-,-,-,-,-,-,-,-,-,1,5,1,0
20240402008,이원석,키움,D,0,7003,0,1014,2000,0,0,0,0,-,-,-,-,-,-,-,-,-,1,3,0,0
20240402008,임지열,키움,HD,0,0,0,0,0,0,7104,0,7003,-,-,-,-,-,-,-,-,-,0,2,0,0
20240402008,이형종,키움,9,0,2000,0,1015,0,3000,3000,0,0,-,-,-,-,-,-,-,-,-,1,2,0,1
20240402008,김휘집,키움,6,0,0,7102,2000,0,2000,7214,0,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240402008,이재상,키움,6,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240402008,송성문,키움,5,0,0,7101,0,7006,1021,0,7104,0,-,-,-,-,-,-,-,-,-,1,4,0,1
20240402008,김재현,키움,2,0,0,2000,0,7102,5002,0,7003,0,-,-,-,-,-,-,-,-,-,0,3,1,0
20240402006,박찬호,KIA,6,1021,0,7100,0,1021,0,2000,0,0,-,-,-,-,-,-,-,-,-,2,4,0,0
20240402006,박민,KIA,H,0,0,0,0,0,0,0,0,1008,-,-,-,-,-,-,-,-,-,1,1,0,1
20240402006,김도영,KIA,5,1014,0,7002,0,2000,0,1019,0,1019,-,-,-,-,-,-,-,-,-,3,5,0,1
20240402006,소크라테스,KIA,79,7407,0,1118,0,2000,0,7001,0,1015,-,-,-,-,-,-,-,-,-,2,5,0,1
20240402006,최형우,KIA,D,7006,0,6001,0,7003,0,0,7005,1013,-,-,-,-,-,-,-,-,-,1,5,2,1
20240402006,이우성,KIA,3,7001,0,7104,0,0,7006,0,7102,1303,-,-,-,-,-,-,-,-,-,1,5,3,1
20240402006,김선빈,KIA,4,0,7101,0,7003,0,1021,0,0,0,-,-,-,-,-,-,-,-,-,1,3,0,0
20240402006,서건창,KIA,H4,0,0,0,0,0,0,0,1117,7100,-,-,-,-,-,-,-,-,-,1,2,0,1
20240402006,이창진,KIA,9,0,2000,0,7100,0,2000,0,0,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240402006,김호령,KIA,8,0,0,0,0,0,0,0,3000,3000,-,-,-,-,-,-,-,-,-,0,0,0,0
20240402006,한준수,KIA,2,0,1019,0,1013,0,7101,0,1020,2000,-,-,-,-,-,-,-,-,-,3,5,1,0
20240402006,최원준,KIA,89,0,7301,0,7101,0,0,7100,0,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240402006,고종욱,KIA,H7,0,0,0,0,0,0,0,7100,2000,-,-,-,-,-,-,-,-,-,0,2,0,0
20240403009,최정원,NC,4,3000,1019,0,7214,0,0,7101,0,1004,-,-,-,-,-,-,-,-,-,2,4,0,0
20240403009,권희동,NC,7,7107,0,3000,0,2000,0,7005,0,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240403009,박영빈,NC,7,0,0,0,0,0,0,0,0,2000,-,-,-,-,-,-,-,-,-,0,1,0,0
20240403009,손아섭,NC,D,7005,0,1013,0,7101,0,0,1021,0,-,-,-,-,-,-,-,-,-,2,4,0,0
20240403009,데이비슨,NC,3,3000,0,3000,0,1019,0,0,7003,0,-,-,-,-,-,-,-,-,-,1,2,0,0
20240403009,박건우,NC,9,7003,0,2000,0,7102,0,0,0,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240403009,도태훈,NC,H5,0,0,0,0,0,0,0,2000,0,-,-,-,-,-,-,-,-,-,0,1,0,0
20240403009,서호철,NC,5,0,3000,7301,0,0,7102,0,7003,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240403009,천재환,NC,9,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240403009,김성욱,NC,8,0,7005,7104,0,0,7006,0,0,2000,-,-,-,-,-,-,-,-,-,0,4,0,0
20240403009,박세혁,NC,2,0,1021,0,2000,0,2000,0,0,1021,-,-,-,-,-,-,-,-,-,2,4,0,0
20240403009,김주원,NC,6,0,2000,0,3000,0,0,7004,0,0,-,-,-,-,-,-,-,-,-,0,2,0,0
20240403009,김한별,NC,6,0,0,0,0,0,0,0,0,7304,-,-,-,-,-,-,-,-,-,0,1,0,0
20240403001,정수빈,두산,8,7006,0,1019,0,7300,0,2000,0,0,-,-,-,-,-,-,-,-,-,1,4,0,0
20240403001,허경민,두산,5,3000,0,1015,0,7003,0,0,7004,0,-,-,-,-,-,-,-,-,-,1,3,0,1
20240403001,양의지,두산,D,2000,0,7107,0,7005,0,0,7003,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240403001,김재환,두산,7,1300,0,3200,0,0,7002,0,2000,0,-,-,-,-,-,-,-,-,-,1,3,2,1
20240403001,양석환,두산,3,2000,0,7219,0,0,7006,0,0,7102,-,-,-,-,-,-,-,-,-,0,4,0,0
20240403001,강승호,두산,4,0,1303,0,7101,0,2000,0,0,2000,-,-,-,-,-,-,-,-,-,1,4,1,1
20240403001,라모스,두산,9,0,7102,0,1021,0,0,2000,0,2000,-,-,-,-,-,-,-,-,-,1,4,0,0
20240403001,장승현,두산,2,0,1021,0,2000,0,0,1019,0,0,-,-,-,-,-,-,-,-,-,2,3,0,0
20240403001,박준영,두산,6,0,2000,0,2000,0,0,2000,0,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240403006,박찬호,KIA,6,7102,0,7006,7005,0,0,7101,7104,0,-,-,-,-,-,-,-,-,-,0,5,0,0
20240403006,김도영,KIA,5,7003,0,2000,0,7006,0,1019,0,2000,-,-,-,-,-,-,-,-,-,1,5,0,0
20240403006,소크라테스,KIA,7,2000,0,7100,0,7101,0,7005,0,7102,-,-,-,-,-,-,-,-,-,0,5,0,0
20240403006,최형우,KIA,D,0,7003,0,1019,2000,0,3000,0,7100,-,-,-,-,-,-,-,-,-,1,4,0,1
20240403006,이우성,KIA,93,0,1021,0,7003,0,7003,7104,0,0,-,-,-,-,-,-,-,-,-,1,4,0,1
20240403006,김선빈,KIA,4,0,1013,0,2000,0,1021,0,1021,0,-,-,-,-,-,-,-,-,-,3,4,0,1
20240403006,김호령,KIA,R8,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240403006,서건창,KIA,34,0,1019,0,1301,0,1111,0,7005,0,-,-,-,-,-,-,-,-,-,3,4,3,2
20240403006,김태군,KIA,2,0,7101,0,1021,0,1021,0,7006,0,-,-,-,-,-,-,-,-,-,2,4,2,0
20240403006,최원준,KIA,89,0,7006,0,1013,0,7205,0,1013,0,-,-,-,-,-,-,-,-,-,2,4,0,0
20240404002,황성빈,롯데,7,7005,0,7101,7101,0,7100,0,0,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240404002,이정훈,롯데,H,0,0,0,0,0,0,0,0,1117,-,-,-,-,-,-,-,-,-,1,1,0,0
20240404002,장두성,롯데,R,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,1
20240404002,윤동희,롯데,8,2000,0,7104,0,7005,7104,0,0,7102,-,-,-,-,-,-,-,-,-,0,5,0,0
20240404002,레이예스,롯데,9,1019,0,1301,0,1014,2000,0,0,6000,-,-,-,-,-,-,-,-,-,3,5,2,2
20240404002,전준우,롯데,D,1013,0,7003,0,1021,0,2000,0,7005,-,-,-,-,-,-,-,-,-,2,5,0,1
20240404002,노진혁,롯데,6,2000,0,0,1110,3000,0,7003,0,7101,-,-,-,-,-,-,-,-,-,1,4,0,1
20240404002,손호영,롯데,54,0,1014,0,1117,1014,0,7000,0,0,-,-,-,-,-,-,-,-,-,3,4,3,0
20240404002,정훈,롯데,3,0,1021,0,7104,7006,0,0,7102,0,-,-,-,-,-,-,-,-,-,1,4,0,0
20240404002,최항,롯데,4,0,7205,0,2000,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,2,0,0
20240404002,박승욱,롯데,45,0,0,0,0,3000,0,0,7100,0,-,-,-,-,-,-,-,-,-,0,1,0,0
20240404002,유강남,롯데,2,0,7100,0,3000,7104,0,0,7002,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240404009,최정원,NC,4,2000,7101,7104,0,0,2000,0,0,0,0,0,-,-,-,-,-,-,-,0,4,1,0
20240404009,도태훈,NC,3,0,0,0,0,0,0,0,3100,0,7006,0,-,-,-,-,-,-,-,0,1,0,0
20240404009,권희동,NC,7,1021,1117,0,1020,0,2000,0,7004,0,7104,0,-,-,-,-,-,-,-,3,6,1,2
20240404009,손아섭,NC,D,1021,7107,0,7104,0,7003,0,7402,0,2000,0,-,-,-,-,-,-,-,1,6,0,0
20240404009,데이비슨,NC,3,7101,1019,0,7006,0,0,1019,0,0,0,0,-,-,-,-,-,-,-,2,4,2,0
20240404009,박민우,NC,R4,0,0,0,0,0,0,0,0,1013,0,1013,-,-,-,-,-,-,-,2,2,0,0
20240404009,박건우,NC,9,7403,3000,0,7003,0,0,1019,0,6004,0,3000,-,-,-,-,-,-,-,1,4,0,0
20240404009,서호철,NC,5,0,11167102,0,0,2000,0,7005,0,7407,0,7205,-,-,-,-,-,-,-,1,6,0,1
20240404009,김한별,NC,5,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0
20240404009,김성욱,NC,8,0,1021,1014,0,7005,0,3100,0,3100,0,3000,-,-,-,-,-,-,-,2,3,0,2
20240404009,김형준,NC,2,0,3000,2000,0,1019,0,7006,0,2000,0,7101,-,-,-,-,-,-,-,1,5,0,1
20240404009,김주원,NC,6,0,1019,7102,0,7101,0,0,7101,2000,0,0,-,-,-,-,-,-,-,1,5,2,1
20240404001,정수빈,두산,8,1013,0,7101,0,0,7100,0,4000,0,2000,-,-,-,-,-,-,-,-,1,5,0,0
20240404001,허경민,두산,5,7006,0,2000,0,0,1110,0,7102,0,0,-,-,-,-,-,-,-,-,1,4,0,1
20240404001,양의지,두산,D,2000,0,0,7102,0,1116,0,7003,0,0,-,-,-,-,-,-,-,-,1,4,1,0
20240404001,김재환,두산,7,3000,0,0,2000,0,3000,0,0,1301,0,-,-,-,-,-,-,-,-,1,2,1,1
20240404001,양석환,두산,3,7102,0,0,6004,0,2000,0,0,7104,0,-,-,-,-,-,-,-,-,0,4,0,0
20240404001,강승호,두산,4,0,7005,0,7104,0,2000,0,0,2000,0,-,-,-,-,-,-,-,-,0,4,0,0
20240404001,라모스,두산,9,0,2000,0,0,2000,0,2000,0,7100,0,-,-,-,-,-,-,-,-,0,4,0,0
20240404001,장승현,두산,2,0,7104,0,0,7101,0,2000,0,0,0,-,-,-,-,-,-,-,-,0,3,0,0
20240404001,김인태,두산,H,0,0,0,0,0,0,0,0,0,2000,-,-,-,-,-,-,-,-,0,1,0,0
20240404001,안승한,두산,2,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0
20240404001,박준영,두산,6,0,0,7005,0,7004,0,2000,0,0,7000,-,-,-,-,-,-,-,-,0,4,0,0
20240404008,이주형,키움,8,1020,0,3000,0,1116,1004,0,0,1013,-,-,-,-,-,-,-,-,-,4,4,0,2
20240404008,박수종,키움,R8,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,1
20240404008,도슨,키움,7,2000,0,1116,0,1019,7003,0,0,3000,-,-,-,-,-,-,-,-,-,2,4,2,2
20240404008,김혜성,키움,4,7101,0,1013,0,3000,0,7402,0,1014,-,-,-,-,-,-,-,-,-,2,4,2,1
20240404008,고영우,키움,4,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240404008,최주환,키움,3,7005,0,7107,0,7004,0,7003,0,2000,-,-,-,-,-,-,-,-,-,0,5,0,0
20240404008,이원석,키움,D,0,2000,0,7102,7400,0,0,0,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240404008,임지열,키움,HD,0,0,0,0,0,0,2000,0,5005,-,-,-,-,-,-,-,-,-,0,1,1,0
20240404008,이형종,키움,9,0,7006,0,3100,0,7003,0,7102,1303,-,-,-,-,-,-,-,-,-,1,4,2,1
20240404008,김휘집,키움,6,0,2000,0,2000,0,3000,0,6004,0,-,-,-,-,-,-,-,-,-,0,3,0,1
20240404008,이재상,키움,R6,0,0,0,0,0,0,0,0,1116,-,-,-,-,-,-,-,-,-,1,1,0,1
20240404008,송성문,키움,5,0,0,7101,7101,0,1301,0,7100,1013,-,-,-,-,-,-,-,-,-,2,5,3,1
20240404008,김재현,키움,2,0,0,7102,0,2000,7101,0,7100,7006,-,-,-,-,-,-,-,-,-,0,5,0,0
20240404006,박찬호,KIA,6,7400,1021,0,0,1021,7101,0,0,1019,-,-,-,-,-,-,-,-,-,3,5,1,0
20240404006,김도영,KIA,5,1021,7102,0,0,7006,0,7104,0,7102,-,-,-,-,-,-,-,-,-,1,5,0,0
20240404006,소크라테스,KIA,7,7004,0,2000,0,7100,0,1301,0,7100,-,-,-,-,-,-,-,-,-,1,5,1,1
20240404006,최형우,KIA,D,7006,0,1019,0,0,1014,7101,0,0,-,-,-,-,-,-,-,-,-,2,4,0,1
20240404006,이우성,KIA,93,0,2000,2000,0,0,1013,7101,0,0,-,-,-,-,-,-,-,-,-,1,4,0,1
20240404006,김선빈,KIA,4,0,3000,2000,0,0,1118,0,2000,0,-,-,-,-,-,-,-,-,-,1,3,2,1
20240404006,김호령,KIA,8,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240404006,서건창,KIA,34,0,1013,0,7004,0,2000,0,7005,0,-,-,-,-,-,-,-,-,-,1,4,0,1
20240404006,김태군,KIA,2,0,7005,0,7407,0,7101,0,7102,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240404006,최원준,KIA,89,0,1116,0,1021,0,3000,0,0,7104,-,-,-,-,-,-,-,-,-,2,3,2,1
20240405010,배정대,KT,8,1021,7400,0,7302,2000,0,2000,0,2000,0,-,-,-,-,-,-,-,-,1,6,0,1
20240405010,천성호,KT,4,3000,0,2000,1021,6000,0,3100,0,0,7100,-,-,-,-,-,-,-,-,1,4,0,1
20240405010,로하스,KT,D,3000,0,3000,1110,3000,0,2000,0,0,3000,-,-,-,-,-,-,-,-,1,2,0,1
20240405010,강백호,KT,2,2000,0,2000,1027,7005,0,0,7100,0,3000,-,-,-,-,-,-,-,-,1,5,1,1
20240405010,김준태,KT,2,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0
20240405010,김민혁,KT,7,5005,0,1021,3000,7006,0,0,7101,0,1116,-,-,-,-,-,-,-,-,2,4,2,0
20240405010,송민섭,KT,R9,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0
20240405010,황재균,KT,5,2000,0,3000,2000,0,7001,0,1019,0,3000,-,-,-,-,-,-,-,-,1,4,0,0
20240405010,문상철,KT,3,0,1303,3000,0,1002,7102,0,2000,0,0,-,-,-,-,-,-,-,-,2,4,2,2
20240405010,박병호,KT,3,0,0,0,0,0,0,0,0,0,7104,-,-,-,-,-,-,-,-,0,1,0,0
20240405010,조용호,KT,97,0,7300,7100,0,1025,2000,0,0,7004,0,-,-,-,-,-,-,-,-,1,5,0,1
20240405010,김상수,KT,6,0,7101,0,7005,1201,0,7006,0,7004,0,-,-,-,-,-,-,-,-,1,5,2,1
20240405001,정수빈,두산,8,7101,0,3000,0,1019,7100,0,7005,0,-,-,-,-,-,-,-,-,-,1,4,0,2
