idx,name,team,position,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,hit,bat_num,hit_get,own_get
20240801003,김지찬,삼성,8,1013,1110,0,7405,0,7301,7003,7003,0,-,-,-,-,-,-,-,-,-,2,6,0,1
20240801003,윤정빈,삼성,9,1019,3000,0,3000,0,3000,2000,0,7005,-,-,-,-,-,-,-,-,-,1,3,0,1
20240801003,이재현,삼성,6,2000,7006,0,7214,0,7006,0,1019,3000,-,-,-,-,-,-,-,-,-,1,5,0,1
20240801003,강민호,삼성,2,1021,7003,0,0,1019,7003,0,7005,7205,-,-,-,-,-,-,-,-,-,2,6,1,0
20240801003,김영웅,삼성,5,7100,0,1013,0,7100,0,0,0,0,-,-,-,-,-,-,-,-,-,1,3,0,0
20240801003,전병우,삼성,R5,0,0,0,0,0,0,7006,1021,0,-,-,-,-,-,-,-,-,-,1,2,0,1
20240801003,김헌곤,삼성,D,1013,0,4104,0,2000,0,3000,6000,0,-,-,-,-,-,-,-,-,-,1,3,2,2
20240801003,이성규,삼성,3,3000,0,2000,0,2000,0,3100,7108,0,-,-,-,-,-,-,-,-,-,0,3,0,1
20240801003,류지혁,삼성,4,2000,0,2000,0,0,3000,0,0,0,-,-,-,-,-,-,-,-,-,0,2,0,0
20240801003,박병호,삼성,H,0,0,0,0,0,0,1019,0,0,-,-,-,-,-,-,-,-,-,1,1,0,0
20240801003,안주형,삼성,R4,0,0,0,0,0,0,0,1021,0,-,-,-,-,-,-,-,-,-,1,1,2,0
20240801003,김현준,삼성,7,0,2000,0,1021,0,1013,1019,1013,0,-,-,-,-,-,-,-,-,-,4,5,2,0
20240801002,윤동희,롯데,8,2000,0,2000,0,0,7005,0,5005,7101,-,-,-,-,-,-,-,-,-,0,4,1,0
20240801002,고승민,롯데,4,7402,0,2000,0,0,7100,0,2000,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240801002,최항,롯데,5,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240801002,전준우,롯데,7,1020,0,0,2000,0,7301,0,1111,0,-,-,-,-,-,-,-,-,-,2,4,0,1
20240801002,레이예스,롯데,9,7101,0,0,2000,0,0,3000,3200,0,-,-,-,-,-,-,-,-,-,0,2,0,2
20240801002,나승엽,롯데,3,0,7102,0,7101,0,0,2000,3000,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240801002,손호영,롯데,54,0,2000,0,0,2000,0,1117,1020,0,-,-,-,-,-,-,-,-,-,2,4,3,0
20240801002,정훈,롯데,D,0,1013,0,0,7003,0,3000,0,0,-,-,-,-,-,-,-,-,-,1,2,0,0
20240801002,장두성,롯데,R,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240801002,김민석,롯데,H,0,0,0,0,0,0,0,2000,0,-,-,-,-,-,-,-,-,-,0,1,0,0
20240801002,박승욱,롯데,6,0,2000,0,0,3000,0,7214,0,7003,-,-,-,-,-,-,-,-,-,0,3,0,0
20240801002,정보근,롯데,2,0,0,7107,0,2000,0,0,0,0,-,-,-,-,-,-,-,-,-,0,2,0,0
20240801002,황성빈,롯데,H,0,0,0,0,0,0,0,6001,0,-,-,-,-,-,-,-,-,-,0,1,0,1
20240801002,손성빈,롯데,2,0,0,0,0,0,0,0,0,7102,-,-,-,-,-,-,-,-,-,0,1,0,0
20240801004,페라자,한화,D,2000,7001,0,1013,6002,0,2000,0,2000,-,-,-,-,-,-,-,-,-,1,6,0,1
20240801004,김인환,한화,7,7006,2000,0,1013,7005,0,6001,0,1019,-,-,-,-,-,-,-,-,-,2,6,1,1
20240801004,이상혁,한화,7,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240801004,김태연,한화,9,1019,0,7104,3100,0,7104,1021,0,0,-,-,-,-,-,-,-,-,-,2,4,1,2
20240801004,이원석,한화,9,0,0,0,0,0,0,0,0,2000,-,-,-,-,-,-,-,-,-,0,1,0,0
20240801004,노시환,한화,5,3100,0,1020,1019,0,7102,2000,0,3000,-,-,-,-,-,-,-,-,-,2,4,2,2
20240801004,채은성,한화,3,1302,0,1303,7104,0,2000,0,7102,2000,-,-,-,-,-,-,-,-,-,2,6,5,2
20240801004,안치홍,한화,4,1019,0,7000,5002,0,0,7104,0,0,-,-,-,-,-,-,-,-,-,1,3,1,1
20240801004,황영묵,한화,4,0,0,0,0,0,0,0,1004,0,-,-,-,-,-,-,-,-,-,1,1,0,0
20240801004,하주석,한화,6,1111,0,1015,7100,0,0,1013,0,0,-,-,-,-,-,-,-,-,-,3,4,1,0
20240801004,이도윤,한화,R6,0,0,0,0,0,0,0,2000,0,-,-,-,-,-,-,-,-,-,0,1,0,1
20240801004,최재훈,한화,2,7005,0,7005,0,2000,0,3100,0,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240801004,이재원,한화,R2,0,0,0,0,0,0,0,2000,0,-,-,-,-,-,-,-,-,-,0,1,0,1
20240801004,장진혁,한화,8,0,7301,0,1021,7003,0,1111,0,1118,-,-,-,-,-,-,-,-,-,3,5,1,3
20240801001,정수빈,두산,8,7005,0,7101,0,7101,0,7101,7007,0,-,-,-,-,-,-,-,-,-,0,5,0,0
20240801001,허경민,두산,5,7101,0,1020,0,1021,0,7102,0,7005,-,-,-,-,-,-,-,-,-,2,5,0,0
20240801001,제러드,두산,9,3000,0,2000,0,7107,0,3000,0,3000,-,-,-,-,-,-,-,-,-,0,2,0,0
20240801001,양석환,두산,3,3000,0,7006,0,0,7004,7005,0,7005,-,-,-,-,-,-,-,-,-,0,4,0,0
20240801001,김재환,두산,D,3000,0,0,1014,0,1013,0,2000,7005,-,-,-,-,-,-,-,-,-,2,4,0,1
20240801001,강승호,두산,4,2000,0,0,7214,0,6001,0,7003,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240801001,김기연,두산,2,0,7101,0,1019,0,2000,0,1019,0,-,-,-,-,-,-,-,-,-,2,4,0,0
20240801001,김재호,두산,6,0,2000,0,7101,0,7003,0,1013,0,-,-,-,-,-,-,-,-,-,1,4,0,0
20240801001,조수행,두산,7,0,7107,0,0,2000,0,1004,0,0,-,-,-,-,-,-,-,-,-,1,3,0,0
20240801001,양의지,두산,H,0,0,0,0,0,0,0,3100,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240801001,김태근,두산,R7,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240801009,박민우,NC,4,1117,7101,1019,0,2000,0,7405,0,0,-,-,-,-,-,-,-,-,-,2,5,3,1
20240801009,김한별,NC,4,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240801009,박시원,NC,9,2000,1202,3000,0,0,7101,0,0,0,-,-,-,-,-,-,-,-,-,1,3,0,1
20240801009,박한결,NC,H7,0,0,0,0,0,0,0,2000,0,-,-,-,-,-,-,-,-,-,0,1,0,0
20240801009,서호철,NC,5,7101,6002,7104,0,0,1021,0,7003,0,-,-,-,-,-,-,-,-,-,1,5,1,0
20240801009,데이비슨,NC,D,1021,7101,0,7305,0,7402,0,3000,0,-,-,-,-,-,-,-,-,-,1,4,0,1
20240801009,박영빈,NC,R,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240801009,김휘집,NC,3,3000,0,7006,1019,0,3000,0,7006,0,-,-,-,-,-,-,-,-,-,1,3,0,1
20240801009,김성욱,NC,8,1301,0,1015,7107,0,2000,0,0,2000,-,-,-,-,-,-,-,-,-,2,5,3,1
20240801009,박세혁,NC,2,7101,0,3000,7006,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,2,0,1
20240801009,김형준,NC,H2,0,0,0,0,0,0,1019,0,2000,-,-,-,-,-,-,-,-,-,1,2,0,0
20240801009,천재환,NC,79,0,1019,1021,0,1110,0,7104,0,2000,-,-,-,-,-,-,-,-,-,3,5,0,2
20240801009,김주원,NC,6,0,4104,1116,0,7100,0,7005,0,0,-,-,-,-,-,-,-,-,-,1,3,1,1
20240802006,소크라테스,KIA,7,3100,0,2000,0,1004,0,7005,0,7006,-,-,-,-,-,-,-,-,-,1,4,0,0
20240802006,최원준,KIA,8,7001,0,7006,0,7004,0,7006,0,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240802006,김도영,KIA,5,7301,0,0,1021,2000,0,0,2000,0,-,-,-,-,-,-,-,-,-,1,4,0,1
20240802006,최형우,KIA,D,0,3100,0,1021,0,2000,0,7006,0,-,-,-,-,-,-,-,-,-,1,3,0,0
20240802006,나성범,KIA,9,0,7100,0,7100,0,1021,0,1303,0,-,-,-,-,-,-,-,-,-,2,4,2,2
20240802006,김선빈,KIA,4,0,7407,0,7101,0,1110,0,7102,0,-,-,-,-,-,-,-,-,-,1,4,1,0
20240802006,변우혁,KIA,3,0,1116,0,7006,0,2000,0,0,1019,-,-,-,-,-,-,-,-,-,2,4,0,0
20240802006,한준수,KIA,2,0,7101,0,0,7301,7100,0,0,2000,-,-,-,-,-,-,-,-,-,0,4,0,0
20240802006,박찬호,KIA,6,0,0,7004,0,3000,0,2000,0,7101,-,-,-,-,-,-,-,-,-,0,3,0,0
20240802008,이주형,키움,9,2000,0,1301,0,2000,2000,0,2000,0,3100,-,-,-,-,-,-,-,-,1,5,2,1
20240802008,김혜성,키움,4,7005,0,7004,0,1117,2000,0,0,7100,1021,-,-,-,-,-,-,-,-,2,6,2,0
20240802008,송성문,키움,5,7104,0,2000,0,7003,0,7104,0,3000,7101,-,-,-,-,-,-,-,-,0,5,0,0
20240802008,최주환,키움,3,0,1013,3000,0,3200,0,7005,0,2000,0,-,-,-,-,-,-,-,-,1,3,0,0
20240802008,변상권,키움,D,0,2000,3100,0,7100,0,7006,0,0,0,-,-,-,-,-,-,-,-,0,3,0,0
20240802008,김수환,키움,H,0,0,0,0,0,0,0,0,2000,0,-,-,-,-,-,-,-,-,0,1,0,0
20240802008,이용규,키움,7,0,1015,7101,0,0,1110,0,1004,0,1019,-,-,-,-,-,-,-,-,4,5,0,1
20240802008,김태진,키움,6,0,7100,0,7006,0,1014,0,7102,0,7107,-,-,-,-,-,-,-,-,1,5,1,2
20240802008,김재현,키움,2,0,7003,0,7003,0,4104,0,1027,0,3000,-,-,-,-,-,-,-,-,1,3,0,0
20240802008,임병욱,키움,8,0,0,1013,7003,0,0,0,0,0,0,-,-,-,-,-,-,-,-,1,2,0,1
20240802008,고영우,키움,H,0,0,0,0,0,1021,0,0,0,0,-,-,-,-,-,-,-,-,1,1,1,0
20240802008,박수종,키움,8,0,0,0,0,0,0,0,7005,0,7101,-,-,-,-,-,-,-,-,0,2,0,1
20240802011,최지훈,SSG,8,7005,0,7101,0,0,7100,0,0,1009,-,-,-,-,-,-,-,-,-,1,4,0,0
20240802011,정준재,SSG,5,7101,0,7005,0,0,7005,0,0,1013,-,-,-,-,-,-,-,-,-,1,4,0,0
20240802011,조병현,SSG,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240802011,이로운,SSG,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240802011,최정,SSG,D5,3100,0,7000,0,0,2000,0,0,2000,-,-,-,-,-,-,-,-,-,0,3,0,1
20240802011,에레디아,SSG,7,1013,0,0,1021,0,0,2000,0,7102,-,-,-,-,-,-,-,-,-,2,4,0,1
20240802011,한유섬,SSG,9,1304,0,0,2000,0,0,7304,0,2000,-,-,-,-,-,-,-,-,-,1,4,3,1
20240802011,최상민,SSG,9,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240802011,박성한,SSG,6,7003,0,0,7205,0,0,2000,0,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240802011,오태곤,SSG,3,0,7101,0,0,7107,0,0,7104,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240802011,김민식,SSG,2,0,7100,0,0,7101,0,0,7100,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240802011,박지환,SSG,4,0,7104,0,0,7006,0,0,7301,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240802011,김성현,SSG,4,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240802010,로하스,KT,79,7005,7003,0,3000,3000,0,7100,0,1111,7101,-,-,-,-,-,-,-,-,1,5,1,0
20240802010,김상수,KT,4,3000,0,3000,3000,7004,0,1116,0,2000,0,-,-,-,-,-,-,-,-,1,3,2,1
20240802010,강백호,KT,D,1013,0,7107,7201,0,2000,3000,0,1013,0,-,-,-,-,-,-,-,-,2,5,0,0
20240802010,장성우,KT,2,7001,0,2000,2000,0,1019,7006,0,0,1303,-,-,-,-,-,-,-,-,2,6,1,1
20240802010,오재일,KT,3,1021,0,7006,0,3000,2000,0,7005,0,3000,-,-,-,-,-,-,-,-,1,4,1,1
20240802010,박민석,KT,R,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,1
20240802010,문상철,KT,3,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0
20240802010,배정대,KT,8,7006,0,0,1019,2000,7107,0,7107,0,6106,-,-,-,-,-,-,-,-,1,5,0,1
20240802010,황재균,KT,5,0,1013,0,1116,2000,0,1117,1019,0,7008,-,-,-,-,-,-,-,-,4,6,0,2
20240802010,조용호,KT,9,0,7101,0,6300,1013,0,1021,0,0,0,-,-,-,-,-,-,-,-,2,4,1,1
20240802010,송민섭,KT,R9,0,0,0,0,0,0,0,2000,0,0,-,-,-,-,-,-,-,-,0,1,0,1
20240802010,김민혁,KT,H7,0,0,0,0,0,0,0,0,0,5005,-,-,-,-,-,-,-,-,0,0,1,0
20240802010,심우준,KT,6,0,1013,0,3000,1019,0,1030,0,7104,3000,-,-,-,-,-,-,-,-,3,4,2,0
20240803006,소크라테스,KIA,7,1000,0,7104,0,7005,0,1021,7100,0,-,-,-,-,-,-,-,-,-,2,5,0,0
20240803006,최원준,KIA,89,1019,0,7104,0,1019,0,3100,0,7102,-,-,-,-,-,-,-,-,-,2,4,1,2
20240803006,김도영,KIA,5,2000,0,1116,0,1301,0,2000,0,1116,-,-,-,-,-,-,-,-,-,3,5,3,2
20240803006,최형우,KIA,D,1019,0,3000,0,7301,0,7104,0,7005,-,-,-,-,-,-,-,-,-,1,4,0,0
20240803006,나성범,KIA,9,1019,0,7104,0,7101,0,0,1021,0,-,-,-,-,-,-,-,-,-,2,4,0,0
20240803006,박정우,KIA,R8,0,0,0,0,0,0,0,0,1201,-,-,-,-,-,-,-,-,-,1,1,1,1
20240803006,김선빈,KIA,4,0,7000,0,7102,0,3000,0,7003,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240803006,홍종표,KIA,4,0,0,0,0,0,0,0,0,7402,-,-,-,-,-,-,-,-,-,0,1,0,0
20240803006,변우혁,KIA,3,0,7002,0,2000,0,7214,0,2000,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240803006,한준수,KIA,2,0,7100,0,7006,0,7006,0,1111,0,-,-,-,-,-,-,-,-,-,1,4,1,1
20240803006,박찬호,KIA,6,0,0,1019,0,1111,0,7302,1019,0,-,-,-,-,-,-,-,-,-,3,4,1,1
20240803008,이주형,키움,9,2000,0,1001,7107,3100,0,1019,1111,0,-,-,-,-,-,-,-,-,-,3,5,1,3
20240803008,박수종,키움,9,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240803008,김혜성,키움,4,7101,0,1021,1021,1019,0,1013,0,0,-,-,-,-,-,-,-,-,-,4,5,3,3
20240803008,고영우,키움,H4,0,0,0,0,0,0,0,2000,0,-,-,-,-,-,-,-,-,-,0,1,0,0
20240803008,송성문,키움,5,7003,0,1019,1021,2000,0,1019,1019,0,-,-,-,-,-,-,-,-,-,4,6,4,1
20240803008,최주환,키움,3,0,7006,7006,1019,2000,0,7100,7100,0,-,-,-,-,-,-,-,-,-,1,6,3,0
20240803008,변상권,키움,D,0,1013,0,10141013,0,7003,7100,0,2000,-,-,-,-,-,-,-,-,-,3,6,1,1
20240803008,이용규,키움,7,0,7205,0,10047107,0,3100,0,0,0,-,-,-,-,-,-,-,-,-,1,3,0,1
20240803008,주성원,키움,H7,0,0,0,0,0,0,3000,0,7101,-,-,-,-,-,-,-,-,-,0,1,0,0
20240803008,김태진,키움,6,0,0,1020,1020,7006,7005,2000,0,7005,-,-,-,-,-,-,-,-,-,2,6,1,2
20240803008,김재현,키움,2,0,0,7008,1021,1019,7102,0,0,0,-,-,-,-,-,-,-,-,-,2,4,1,2
20240803008,김건희,키움,H2,0,0,0,0,0,0,0,1015,0,-,-,-,-,-,-,-,-,-,1,1,0,1
20240803008,임병욱,키움,8,0,0,4004,2000,1021,0,1301,2000,0,-,-,-,-,-,-,-,-,-,2,5,1,1
20240803011,최지훈,SSG,8,7003,0,0,7005,0,1004,0,0,0,-,-,-,-,-,-,-,-,-,1,3,0,1
