idx,name,team,position,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,hit,bat_num,hit_get,own_get
20240601005,홍창기,LG,9,2000,0,2000,0,7101,0,1019,7101,0,0,7402,-,-,-,-,-,-,-,1,6,0,0
20240601005,문성주,LG,7,7005,0,2000,0,1013,0,2000,0,2000,0,1021,-,-,-,-,-,-,-,2,6,2,1
20240601005,김현수,LG,D,7005,0,7107,0,7005,0,1013,0,2000,0,1300,-,-,-,-,-,-,-,2,6,2,1
20240601005,오스틴,LG,3,0,3000,0,6004,0,1303,1019,0,1303,0,7003,-,-,-,-,-,-,-,3,5,2,3
20240601005,박동원,LG,2,0,1111,0,7209,0,7003,7002,0,7005,0,3000,-,-,-,-,-,-,-,1,5,1,0
20240601005,문보경,LG,5,0,3000,0,1300,0,1013,0,3000,0,0,0,-,-,-,-,-,-,-,2,2,1,1
20240601005,최원영,LG,R,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0
20240601005,김민수,LG,5,0,0,0,0,0,0,0,0,0,7104,2000,-,-,-,-,-,-,-,0,2,0,0
20240601005,구본혁,LG,6,0,4102,0,7300,0,7005,0,7006,0,2000,0,-,-,-,-,-,-,-,0,4,0,0
20240601005,박해민,LG,8,0,7400,0,0,1004,3000,0,7006,0,2000,0,-,-,-,-,-,-,-,1,4,0,1
20240601005,신민재,LG,4,0,7104,0,0,4105,2000,0,1019,0,0,1019,-,-,-,-,-,-,-,2,4,0,1
20240601009,박민우,NC,4,7107,0,7003,0,3000,0,7104,0,2000,-,-,-,-,-,-,-,-,-,0,4,0,0
20240601009,권희동,NC,7,2000,0,7214,0,2000,0,0,1019,0,-,-,-,-,-,-,-,-,-,1,4,0,0
20240601009,최정원,NC,R8,0,0,0,0,0,0,0,0,1009,-,-,-,-,-,-,-,-,-,1,1,0,1
20240601009,박건우,NC,D,7003,0,0,7108,0,7005,0,1110,0,-,-,-,-,-,-,-,-,-,1,4,1,0
20240601009,한석현,NC,RD,0,0,0,0,0,0,0,0,3000,-,-,-,-,-,-,-,-,-,0,0,1,1
20240601009,데이비슨,NC,3,0,1301,0,7102,0,2000,0,7003,0,-,-,-,-,-,-,-,-,-,1,4,1,1
20240601009,도태훈,NC,3,0,0,0,0,0,0,0,0,2000,-,-,-,-,-,-,-,-,-,0,1,0,0
20240601009,손아섭,NC,9,0,6001,0,7005,0,1019,0,5004,0,-,-,-,-,-,-,-,-,-,1,3,1,0
20240601009,김휘집,NC,6,0,7006,0,0,7104,7003,0,7006,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240601009,김성욱,NC,87,0,2000,0,0,7001,0,7006,0,1019,-,-,-,-,-,-,-,-,-,1,4,0,1
20240601009,김형준,NC,2,0,7104,0,0,1019,0,2000,0,4100,-,-,-,-,-,-,-,-,-,1,3,0,0
20240601009,서호철,NC,5,0,0,1021,0,1019,0,1013,0,3000,-,-,-,-,-,-,-,-,-,3,3,0,0
20240601004,김태연,한화,9,7005,0,3000,0,1019,0,7407,0,7104,-,-,-,-,-,-,-,-,-,1,4,1,1
20240601004,황영묵,한화,4,7101,0,1021,0,7005,0,7402,0,7100,-,-,-,-,-,-,-,-,-,1,5,0,1
20240601004,노시환,한화,5,1021,0,1301,0,1013,0,7003,0,0,-,-,-,-,-,-,-,-,-,3,4,3,1
20240601004,안치홍,한화,3,7104,0,7005,0,7101,0,0,7003,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240601004,채은성,한화,D,0,7104,0,7407,0,1110,0,3000,0,-,-,-,-,-,-,-,-,-,1,3,0,0
20240601004,이상혁,한화,R,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240601004,이도윤,한화,6,0,7006,0,7104,0,3000,0,2000,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240601004,김강민,한화,8,0,7005,0,2000,0,7005,0,3100,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240601004,최인호,한화,7,0,0,7100,0,6000,7107,0,2000,0,-,-,-,-,-,-,-,-,-,0,4,0,1
20240601004,최재훈,한화,2,0,0,7102,0,4104,7107,0,0,0,-,-,-,-,-,-,-,-,-,0,2,0,0
20240601004,문현빈,한화,H,0,0,0,0,0,0,0,0,7004,-,-,-,-,-,-,-,-,-,0,1,0,0
20240601010,로하스,KT,9,2000,0,7100,0,7006,0,0,1013,0,-,-,-,-,-,-,-,-,-,1,4,0,1
20240601010,김민혁,KT,7,7003,0,7107,0,0,7101,0,3000,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240601010,강백호,KT,D,2000,0,0,3000,0,1021,0,3000,0,-,-,-,-,-,-,-,-,-,1,2,0,0
20240601010,오재일,KT,3,0,2000,0,7201,0,2000,0,7205,0,-,-,-,-,-,-,-,-,-,0,4,0,0
20240601010,장성우,KT,2,0,7003,0,3000,0,7102,0,7001,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240601010,황재균,KT,5,0,2000,0,2000,0,0,7006,0,1116,-,-,-,-,-,-,-,-,-,1,4,0,0
20240601010,배정대,KT,8,0,0,6002,0,7006,0,7003,0,2000,-,-,-,-,-,-,-,-,-,0,4,0,1
20240601010,신본기,KT,4,0,0,4104,0,6002,0,1019,0,7107,-,-,-,-,-,-,-,-,-,1,3,0,0
20240601010,김상수,KT,6,0,0,1014,0,7104,0,2000,0,0,-,-,-,-,-,-,-,-,-,1,3,1,0
20240601010,문상철,KT,H,0,0,0,0,0,0,0,0,2000,-,-,-,-,-,-,-,-,-,0,1,0,0
20240601011,최지훈,SSG,8,7005,0,7006,0,6007,7407,0,2000,0,-,-,-,-,-,-,-,-,-,0,5,0,1
20240601011,오태곤,SSG,8,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240601011,박성한,SSG,6,1111,0,2000,0,7407,1301,0,7003,0,-,-,-,-,-,-,-,-,-,2,5,2,2
20240601011,최경모,SSG,6,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240601011,최정,SSG,5,1303,0,7005,0,1303,1015,0,0,0,-,-,-,-,-,-,-,-,-,3,4,5,2
20240601011,한유섬,SSG,H,0,0,0,0,0,0,0,0,3000,-,-,-,-,-,-,-,-,-,0,0,0,0
20240601011,최준우,SSG,R5,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240601011,에레디아,SSG,7,7006,0,0,7102,7003,1021,0,0,0,-,-,-,-,-,-,-,-,-,1,4,0,0
20240601011,정현승,SSG,H9,0,0,0,0,0,0,0,0,7107,-,-,-,-,-,-,-,-,-,0,1,0,0
20240601011,이지영,SSG,2,7104,0,0,1020,1013,7006,0,0,0,-,-,-,-,-,-,-,-,-,2,4,0,1
20240601011,김민식,SSG,H2,0,0,0,0,0,0,0,0,2000,-,-,-,-,-,-,-,-,-,0,1,0,0
20240601011,고명준,SSG,3,0,2000,0,2000,1303,0,7104,0,7003,-,-,-,-,-,-,-,-,-,1,5,2,1
20240601011,강진성,SSG,D,0,3000,0,1021,7005,0,7006,0,0,-,-,-,-,-,-,-,-,-,1,3,0,0
