idx,name,team,position,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,hit,bat_num,hit_get,own_get
20240901002,윤동희,롯데,89,1117,7003,0,0,1021,0,7000,0,7001,0,2000,0,-,-,-,-,-,-,2,6,0,2
20240901002,고승민,롯데,4,2000,0,7101,0,7100,0,7100,0,7003,0,2000,0,-,-,-,-,-,-,0,6,0,0
20240901002,손호영,롯데,5,3100,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,1
20240901002,노진혁,롯데,5,0,0,1110,0,7101,0,2000,0,0,1111,0,0,-,-,-,-,-,-,2,4,0,0
20240901002,장두성,롯데,R,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0
20240901002,신윤후,롯데,5,0,0,0,0,0,0,0,0,0,0,0,2000,-,-,-,-,-,-,0,1,0,0
20240901002,레이예스,롯데,9,1118,0,3000,0,1021,0,0,3000,0,0,0,0,-,-,-,-,-,-,2,2,3,0
20240901002,황성빈,롯데,R8,0,0,0,0,0,0,0,0,0,1009,0,7005,-,-,-,-,-,-,1,2,0,0
20240901002,전준우,롯데,7,2000,0,2000,0,7006,0,0,7205,0,2000,0,1019,-,-,-,-,-,-,1,6,0,0
20240901002,김민석,롯데,R7,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,1
20240901002,나승엽,롯데,3,2000,0,7005,0,0,2000,0,3000,0,3200,0,1013,-,-,-,-,-,-,1,4,0,0
20240901002,정훈,롯데,D,0,2000,0,2000,0,2000,0,2000,0,2000,0,1019,-,-,-,-,-,-,1,6,1,0
20240901002,박승욱,롯데,6,0,7101,0,2000,0,1013,0,0,1021,7006,0,2000,-,-,-,-,-,-,2,6,0,0
20240901002,손성빈,롯데,2,0,3000,0,2000,0,7003,0,0,0,0,0,0,-,-,-,-,-,-,0,2,0,0
20240901002,오선진,롯데,H,0,0,0,0,0,0,0,0,4104,0,0,0,-,-,-,-,-,-,0,0,0,0
20240901002,정보근,롯데,2,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0
20240901002,이정훈,롯데,H,0,0,0,0,0,0,0,0,0,0,7006,0,-,-,-,-,-,-,0,1,0,0
20240901002,서동욱,롯데,2,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0
20240901009,박민우,NC,4,7005,0,4002,0,0,7101,0,30007005,0,-,-,-,-,-,-,-,-,-,0,4,0,1
20240901009,도태훈,NC,43,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240901009,서호철,NC,D,7108,0,7003,0,0,2000,0,3000,1013,-,-,-,-,-,-,-,-,-,1,4,0,1
20240901009,최정원,NC,R,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,1
20240901009,데이비슨,NC,3,7102,0,0,3000,0,1304,0,7304,1021,-,-,-,-,-,-,-,-,-,2,4,1,1
20240901009,김한별,NC,R4,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,1
20240901009,권희동,NC,7,0,1015,0,7005,0,1303,0,1004,7001,-,-,-,-,-,-,-,-,-,3,5,2,2
20240901009,김휘집,NC,5,0,2000,0,7214,0,1019,0,1013,1117,-,-,-,-,-,-,-,-,-,3,5,3,1
20240901009,김성욱,NC,8,0,7002,0,0,7006,7006,0,1021,2000,-,-,-,-,-,-,-,-,-,1,5,0,0
20240901009,박세혁,NC,2,0,2000,0,0,7104,0,7006,0,0,-,-,-,-,-,-,-,-,-,0,3,0,0
20240901009,김형준,NC,2,0,0,0,0,0,0,0,7003,3000,-,-,-,-,-,-,-,-,-,0,1,0,0
20240901009,천재환,NC,9,0,0,7001,0,1110,0,7104,1019,7101,-,-,-,-,-,-,-,-,-,2,5,2,0
20240901009,김주원,NC,6,0,0,3100,0,7003,0,3000,3000,0,-,-,-,-,-,-,-,-,-,0,1,0,0
20240901006,박찬호,KIA,6,7407,0,7005,0,7102,1021,0,7006,0,-,-,-,-,-,-,-,-,-,1,5,0,0
20240901006,소크라테스,KIA,87,2000,0,7005,0,7102,7002,0,1020,0,-,-,-,-,-,-,-,-,-,1,5,0,0
20240901006,김도영,KIA,5,7003,0,1205,0,3000,0,1302,7006,0,-,-,-,-,-,-,-,-,-,2,4,1,2
20240901006,최형우,KIA,7,0,1019,2000,0,1111,0,2000,0,7005,-,-,-,-,-,-,-,-,-,2,5,1,1
20240901006,김호령,KIA,8,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240901006,나성범,KIA,D,0,1013,0,1110,1020,0,1300,0,2000,-,-,-,-,-,-,-,-,-,4,5,2,2
20240901006,김선빈,KIA,4,0,4104,0,1013,7101,0,1013,0,1021,-,-,-,-,-,-,-,-,-,3,4,0,0
20240901006,홍종표,KIA,R4,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,1
20240901006,이우성,KIA,3,0,3000,0,5004,0,7006,1019,0,1117,-,-,-,-,-,-,-,-,-,2,3,2,0
20240901006,김규성,KIA,R3,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
20240901006,김태군,KIA,2,0,7003,0,7006,0,1019,2000,0,0,-,-,-,-,-,-,-,-,-,1,4,0,0
20240901006,한준수,KIA,H,0,0,0,0,0,0,0,0,7400,-,-,-,-,-,-,-,-,-,0,1,0,0
20240901006,한승택,KIA,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
