idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum
20240402002,나균안,롯데,1,60,L,10,3,0,0,101,4,0,22,25
20240402002,전미르,롯데,0,10,W,1,1,0,0,24,0,0,3,5
20240402002,최준용,롯데,0,10,H,0,0,0,0,10,0,0,3,3
20240402002,김원중,롯데,0,10,L,1,3,0,0,18,1,0,3,6
20240402009,하트,NC,1,50,W,10,5,4,4,103,7,0,22,27
20240402009,김재열,NC,0,10,H,2,0,0,0,17,0,0,3,3
20240402009,류진욱,NC,0,01,L,0,1,1,1,18,2,0,3,4
20240402009,임정호,NC,0,11,H,0,0,0,0,15,1,0,5,5
20240402009,이용찬,NC,0,11,L,1,1,0,0,28,1,0,5,6
20240402001,최원준,두산,1,30,L,5,1,6,6,54,5,3,14,15
20240402001,박신지,두산,0,01,L,0,0,1,0,14,1,0,3,3
20240402001,김호준,두산,0,01,L,0,1,0,0,8,0,0,1,2
20240402001,박정수,두산,0,11,L,2,0,0,0,29,3,0,7,7
20240402001,이병헌,두산,0,01,L,0,0,1,1,5,1,0,2,2
20240402001,최지강,두산,0,12,L,1,0,0,0,16,2,0,7,7
20240402001,정철원,두산,0,01,L,0,2,4,4,18,2,1,3,5
20240402001,김민규,두산,0,02,L,0,0,1,1,7,1,1,3,3
20240402008,김선기,키움,1,50,W,3,1,1,1,63,3,0,16,18
20240402008,김윤하,키움,0,30,H,2,1,2,2,54,3,0,12,13
20240402008,김인범,키움,0,10,L,1,0,0,0,10,1,0,3,3
20240402006,양현종,KIA,1,51,L,2,3,4,4,89,5,1,21,25
20240402006,이형범,KIA,0,10,L,1,0,0,0,15,0,0,3,3
20240402006,김대유,KIA,0,00,L,0,0,2,2,5,2,0,2,2
20240402006,황동하,KIA,0,12,L,1,3,4,0,44,2,0,8,11
20240403009,이재학,NC,1,50,L,3,2,4,1,87,7,1,21,24
20240403009,이준호,NC,0,10,L,0,1,0,0,13,0,0,3,4
