idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum
20240801003,백정현,삼성,1,62,W,2,2,0,0,89,7,0,22,24
20240801003,임창민,삼성,0,10,L,0,0,0,0,16,1,0,4,4
20240801003,이승현,삼성,0,11,L,0,0,0,0,22,2,0,6,6
20240801002,박세웅,롯데,1,61,L,2,1,2,2,101,6,1,26,27
20240801002,진해수,롯데,0,01,L,0,0,0,0,7,1,0,2,2
20240801002,김상수,롯데,0,11,W,1,0,0,0,18,0,0,4,4
20240801002,구승민,롯데,0,01,H,0,2,0,0,11,0,0,1,3
20240801002,송재영,롯데,0,02,L,2,0,0,0,8,0,0,2,2
20240801004,문동주,한화,1,50,W,4,1,2,2,79,8,0,21,22
20240801004,황준서,한화,0,02,L,1,0,1,1,12,3,0,5,5
20240801004,김규연,한화,0,11,L,2,1,1,1,38,2,1,6,7
20240801004,조동욱,한화,0,01,L,1,0,4,1,20,3,0,5,5
20240801004,이민우,한화,0,01,L,0,1,0,0,9,1,0,1,3
20240801004,김서현,한화,0,01,L,1,3,0,0,24,0,0,1,4
20240801004,주현상,한화,0,10,L,2,0,0,0,21,0,0,3,3
20240801001,발라조빅,두산,1,62,W,5,3,0,0,102,4,0,22,25
20240801001,이병헌,두산,0,01,H,0,2,0,0,12,0,0,1,3
20240801001,홍건희,두산,0,01,H,0,0,0,0,1,0,0,1,1
20240801001,김택연,두산,0,12,L,3,1,0,0,31,1,0,6,7
20240801009,이재학,NC,1,20,L,3,2,3,3,52,4,1,10,12
20240801009,임정호,NC,0,20,L,2,0,0,0,36,1,0,7,7
20240801009,류진욱,NC,0,01,L,0,1,3,3,18,2,0,3,4
20240801009,송명기,NC,0,01,L,1,1,1,1,23,2,0,3,4
20240801009,이준호,NC,0,01,L,1,0,2,2,16,2,0,3,3
20240801009,김영규,NC,0,10,L,0,0,1,1,18,1,0,3,4
20240801009,김재열,NC,0,10,L,0,0,0,0,12,0,0,3,3
20240801009,이용찬,NC,0,01,L,1,1,3,3,20,2,1,3,4
20240801009,전사민,NC,0,01,L,1,4,1,1,23,0,0,1,5
20240801009,손주환,NC,0,01,L,1,0,0,0,6,0,0,1,1
20240802006,황동하,KIA,1,50,L,2,2,3,3,78,4,1,18,20
20240802006,임기영,KIA,0,01,L,1,1,3,3,15,3,0,4,5
20240802006,최지민,KIA,0,02,L,2,0,0,0,14,1,0,3,3
20240802006,김기훈,KIA,0,10,L,2,0,0,0,20,2,0,5,5
20240802006,윤중현,KIA,0,10,L,0,2,4,4,35,4,0,7,9
20240802008,후라도,키움,1,60,L,7,1,4,4,101,9,1,27,28
20240802008,양지율,키움,0,10,L,1,1,0,0,12,0,0,2,3
20240802008,김성민,키움,0,10,L,1,0,0,0,12,1,0,4,4
20240802008,김선기,키움,0,10,W,0,1,0,0,20,1,0,4,5
20240802008,주승우,키움,0,10,L,1,0,0,0,20,1,0,4,4
20240802011,엘리아스,SSG,1,60,L,2,0,1,1,93,5,0,23,23
20240802011,문승원,SSG,0,10,H,3,0,0,0,17,1,0,4,4
20240802011,노경은,SSG,0,10,H,0,0,1,1,19,2,1,5,5
20240802011,조병현,SSG,0,01,L,1,0,2,1,16,1,1,3,3
20240802011,이로운,SSG,0,01,L,0,2,0,0,6,0,0,1,3
20240802010,벤자민,KT,1,50,L,9,2,7,7,91,7,3,21,23
20240802010,김민수,KT,0,10,L,3,0,0,0,13,0,0,3,3
20240802010,김민,KT,0,20,L,3,1,0,0,24,0,0,5,7
20240802010,박영현,KT,0,20,W,4,1,0,0,42,1,0,7,8
20240803006,양현종,KIA,1,60,W,7,1,3,2,100,7,1,26,27
