idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum
20240702010,쿠에바스,KT,1,60,L,4,2,3,3,100,7,0,24,26
20240702010,김민수,KT,0,10,L,2,0,0,0,15,0,0,3,3
20240702010,김민,KT,0,11,L,1,0,0,0,17,1,0,5,5
20240702010,박영현,KT,0,12,W,2,0,0,0,23,0,0,5,5
20240702010,박시영,KT,0,10,L,1,0,2,2,20,3,0,6,6
20240702006,네일,KIA,1,50,L,7,3,4,3,83,4,1,18,21
20240702006,장현식,KIA,0,10,L,0,0,0,0,24,1,0,4,4
20240702006,최지민,KIA,0,10,L,1,2,0,0,16,0,0,2,4
20240702006,곽도규,KIA,0,01,L,1,0,0,0,7,0,0,1,1
20240702006,임기영,KIA,0,11,L,2,1,0,0,27,2,0,5,7
20240702006,전상현,KIA,0,11,W,1,0,1,1,26,1,0,4,5
20240702005,켈리,LG,1,60,L,4,1,1,1,96,7,0,25,26
20240702005,김진성,LG,0,10,H,1,1,0,0,13,0,0,2,3
20240702005,정우영,LG,0,00,L,0,0,3,3,7,3,0,3,3
20240702005,백승현,LG,0,10,L,1,1,0,0,19,1,0,3,5
20240703010,벤자민,KT,1,70,W,8,2,0,0,97,3,0,24,26
20240703010,김민,KT,0,02,L,2,1,2,2,24,3,0,5,6
20240703010,박영현,KT,0,11,L,2,0,0,0,11,0,0,4,4
20240703002,박세웅,롯데,1,40,L,4,2,6,6,90,8,1,20,22
20240703002,김상수,롯데,0,10,L,2,0,1,1,16,1,1,4,4
20240703002,이민석,롯데,0,10,L,0,1,2,2,25,1,0,4,5
20240703002,진해수,롯데,0,00,L,0,1,0,0,1,0,0,0,1
20240703002,구승민,롯데,0,10,L,1,1,1,1,13,1,0,4,5
20240703002,한현희,롯데,0,00,L,0,1,1,1,6,0,0,0,1
20240703002,박진,롯데,0,10,L,0,1,2,2,20,2,1,5,6
20240703006,알드레드,KIA,1,42,L,7,2,4,4,89,3,1,17,19
20240703006,장현식,KIA,0,21,W,1,0,0,0,32,2,0,8,8
20240703006,최지민,KIA,0,02,H,1,0,0,0,15,1,0,3,3
20240703006,임기영,KIA,0,00,L,0,1,0,0,13,1,0,1,2
20240703006,전상현,KIA,0,11,L,0,0,0,0,14,0,0,4,4
20240703011,엘리아스,SSG,1,62,L,6,0,4,4,102,8,2,26,28
20240703011,이로운,SSG,0,01,L,0,0,0,0,4,0,0,1,1
20240703011,조병현,SSG,0,10,L,2,0,0,0,10,1,0,4,4
20240703005,엔스,LG,1,60,L,9,1,4,4,102,7,0,25,26
20240703005,이상영,LG,0,10,L,2,0,0,0,16,0,0,3,3
20240703005,김영준,LG,0,10,L,0,0,0,0,14,1,0,4,4
20240704010,엄상백,KT,1,22,L,2,1,3,3,68,5,0,13,14
20240704010,김민수,KT,0,10,L,0,0,5,3,20,5,0,7,8
20240704010,우규민,KT,0,11,L,1,0,0,0,15,0,0,5,5
20240704010,성재헌,KT,0,01,L,0,1,2,2,8,1,0,1,3
20240704010,이채호,KT,0,02,L,0,0,0,0,13,1,0,3,3
20240704010,문용익,KT,0,10,L,1,2,3,3,31,2,0,5,7
20240704010,주권,KT,0,10,L,0,0,0,0,8,0,0,3,3
20240704002,윌커슨,롯데,1,50,L,5,1,4,3,91,5,2,21,22
20240704002,김진욱,롯데,0,00,L,0,1,1,1,14,2,0,2,3
20240704002,이민석,롯데,0,10,L,0,1,0,0,18,0,0,2,3
20240704002,한현희,롯데,0,10,L,2,0,0,0,19,2,0,5,5
20240704002,김강현,롯데,0,10,L,2,1,1,0,21,1,0,4,5
20240704006,양현종,KIA,1,50,L,5,1,3,3,96,5,2,19,20
20240704006,김대유,KIA,0,01,L,0,0,0,0,5,0,0,1,1
20240704006,황동하,KIA,0,32,W,3,1,0,0,43,0,0,11,12
20240704011,김광현,SSG,1,70,L,7,0,0,0,91,2,0,23,23
20240704011,노경은,SSG,0,10,L,1,1,0,0,13,0,0,3,4
20240704011,조병현,SSG,0,10,L,1,1,0,0,21,0,0,3,4
20240704011,앤더슨,SSG,0,10,L,3,0,0,0,21,0,0,3,3
20240704011,문승원,SSG,0,10,L,0,1,0,0,18,0,0,3,4
20240704011,이로운,SSG,0,00,L,0,0,2,1,5,1,1,2,2
20240704005,임찬규,LG,1,60,W,4,1,1,1,86,4,0,22,23
20240704005,김진성,LG,0,10,H,2,1,0,0,18,0,0,3,4
20240704005,이상영,LG,0,01,H,0,2,1,1,10,0,0,1,3
20240704005,유영찬,LG,0,12,L,1,1,0,0,24,0,0,5,6
20240709006,네일,KIA,1,51,W,4,1,4,4,79,6,1,23,24
20240709006,김대유,KIA,0,02,L,0,0,0,0,8,0,0,2,2
20240709006,곽도규,KIA,0,02,L,0,1,0,0,11,1,0,3,4
20240709006,임기영,KIA,0,11,L,0,0,0,0,17,2,0,5,5
20240709006,김사윤,KIA,0,10,L,1,1,0,0,15,0,0,3,4
20240709002,한현희,롯데,1,50,L,4,1,4,4,88,5,1,20,21
20240709002,진해수,롯데,0,02,L,1,0,0,0,13,1,0,3,3
20240709002,구승민,롯데,0,11,L,3,2,0,0,27,1,0,5,7
20240709002,김상수,롯데,0,02,L,0,1,3,1,17,2,0,2,6
20240709002,이민석,롯데,0,01,L,1,1,0,0,16,1,0,2,3
20240709004,와이스,한화,1,70,L,6,3,2,1,97,5,0,26,29
20240709004,황준서,한화,0,01,L,0,2,2,1,12,0,0,1,3
20240709004,한승혁,한화,0,02,L,1,1,1,0,15,1,0,3,4
20240710006,양현종,KIA,1,50,L,3,0,1,1,87,6,1,20,20
20240710006,임기영,KIA,0,02,L,0,0,0,0,9,1,0,3,3
20240710006,김대유,KIA,0,01,L,1,0,0,0,8,0,0,1,1
20240710006,장현식,KIA,0,10,L,1,0,0,0,11,1,0,4,4
20240710006,최지민,KIA,0,10,L,1,2,1,1,27,1,0,4,6
20240710006,전상현,KIA,0,20,W,1,0,0,0,32,1,0,7,7
20240710002,반즈,롯데,1,60,W,9,1,0,0,77,2,0,20,21
20240710002,구승민,롯데,0,10,L,1,0,0,0,14,0,0,3,3
20240710002,김상수,롯데,0,10,L,1,1,0,0,17,0,0,3,4
20240710002,김원중,롯데,0,10,L,1,0,1,0,17,1,0,5,5
20240710009,카스타노,NC,1,40,L,7,1,7,7,79,8,1,19,20
20240710009,송명기,NC,0,10,L,0,1,2,2,22,2,1,5,6
20240710009,최성영,NC,0,10,L,1,1,1,1,17,1,0,3,5
20240710009,배재환,NC,0,10,L,3,1,0,0,21,0,0,3,4
20240710009,전루건,NC,0,10,L,0,1,5,5,33,5,0,6,9
20240710001,김민규,두산,1,21,L,1,4,5,5,53,2,1,9,13
20240710001,이영하,두산,0,02,L,0,1,0,0,14,1,0,3,4
20240710001,김강률,두산,0,01,L,0,1,0,0,19,1,0,2,3
20240710001,박치국,두산,0,10,L,1,2,1,1,16,1,0,3,5
20240710001,홍건희,두산,0,02,L,0,1,0,0,16,0,0,2,3
20240710001,이교훈,두산,0,10,L,1,0,0,0,17,0,0,4,4
20240710001,최지강,두산,0,20,L,3,0,0,0,29,1,0,7,7
20240710001,김택연,두산,0,12,L,5,1,1,1,34,2,0,7,8
20240710004,바리아,한화,1,62,W,3,2,0,0,80,3,0,23,25
20240710004,이민우,한화,0,01,L,0,0,0,0,7,1,0,2,2
20240710004,김규연,한화,0,10,L,0,0,0,0,9,1,0,3,3
20240710004,조동욱,한화,0,10,L,1,0,0,0,14,1,0,4,4
