idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum
20240601005,켈리,LG,1,60,L,3,0,2,0,86,4,0,21,23
20240601005,김진성,LG,0,02,L,1,0,3,3,24,4,1,6,6
20240601005,최동환,LG,0,11,L,0,0,0,0,22,2,0,5,5
20240601005,유영찬,LG,0,10,L,0,1,0,0,19,0,0,2,4
20240601005,김대현,LG,0,20,W,2,0,0,0,18,0,0,6,6
20240601009,카스타노,NC,1,50,L,6,2,2,2,85,6,0,18,21
20240601009,김재열,NC,0,10,L,1,0,0,0,13,0,0,3,3
20240601009,한재승,NC,0,10,W,1,0,0,0,16,0,0,3,3
20240601009,김영규,NC,0,20,L,1,0,0,0,22,1,0,6,6
20240601004,조동욱,한화,1,42,L,5,3,5,5,95,6,1,18,23
20240601004,김규연,한화,0,11,L,2,0,0,0,15,0,0,4,4
20240601004,이민우,한화,0,10,L,0,1,0,0,23,1,0,4,5
20240601004,김범수,한화,0,10,L,1,0,1,1,12,1,1,4,4
20240601010,육청명,KT,1,42,L,4,3,2,2,79,6,1,20,23
20240601010,손동현,KT,0,11,L,0,0,0,0,14,1,0,4,5
20240601010,김민수,KT,0,10,L,1,1,2,2,29,3,0,6,7
20240601010,이상동,KT,0,10,L,1,1,0,0,20,1,0,4,5
20240601011,시라카와,SSG,1,50,W,6,4,0,0,92,3,0,17,21
20240601011,한두솔,SSG,0,10,L,2,1,0,0,18,1,0,4,5
20240601011,최민준,SSG,0,10,L,1,0,0,0,9,1,0,3,3
20240601011,박민호,SSG,0,10,L,0,0,0,0,13,0,0,3,3
20240601011,이로운,SSG,0,10,L,0,2,0,0,17,0,0,3,5
20240602005,엔스,LG,1,60,W,6,3,1,1,100,2,1,20,23
20240602005,정지헌,LG,0,10,H,1,0,0,0,13,1,0,4,4
20240602005,최동환,LG,0,01,L,1,0,0,0,15,2,0,3,3
20240602005,김유영,LG,0,01,H,1,0,0,0,5,0,0,1,1
20240602005,김대현,LG,0,11,L,0,0,0,0,23,1,0,5,5
20240602011,박종훈,SSG,1,31,L,1,4,2,2,70,3,0,12,16
20240602011,이기순,SSG,0,12,W,3,1,0,0,43,2,0,7,8
20240602011,한두솔,SSG,0,20,L,2,0,0,0,16,1,0,7,7
20240602011,노경은,SSG,0,10,L,1,0,0,0,12,1,0,4,4
20240602011,문승원,SSG,0,10,L,0,0,0,0,17,1,0,3,3
20240602009,신민혁,NC,1,31,L,1,1,2,2,47,5,0,15,16
20240602009,송명기,NC,0,12,H,0,0,0,0,18,0,0,5,5
20240602009,한재승,NC,0,01,L,1,1,2,2,19,1,0,2,3
20240602009,임정호,NC,0,00,L,0,0,1,1,4,1,0,1,1
