idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum
20240309003,이호성,삼성,1,31,L,3,2,4,4,65,8,2,18,20
20240309003,최하늘,삼성,0,21,L,1,2,2,2,43,2,0,9,11
20240309003,최성훈,삼성,0,11,L,2,0,0,0,13,0,0,4,4
20240309003,장필준,삼성,0,10,L,0,0,0,0,12,0,0,3,3
20240309008,하영민,키움,1,30,L,0,0,6,6,64,9,1,18,18
20240309008,전준표,키움,0,02,L,0,2,0,0,14,0,0,2,4
20240309008,김인범,키움,0,11,L,1,2,2,0,29,0,0,4,6
20240309008,손현기,키움,0,20,L,3,1,0,0,37,0,0,6,7
20240309008,주승우,키움,0,10,L,0,1,4,4,27,4,0,5,8
20240309011,오원석,SSG,1,42,L,4,1,0,0,67,2,0,15,16
20240309011,이건욱,SSG,0,11,L,0,1,1,1,26,2,0,6,7
20240309011,신헌민,SSG,0,00,L,0,2,4,4,22,3,0,3,5
20240309011,한두솔,SSG,0,10,L,0,0,0,0,10,0,0,2,3
20240309011,최민준,SSG,0,10,L,0,2,1,1,23,2,0,4,7
20240309006,이의리,KIA,1,21,W,4,2,2,2,55,3,0,10,12
20240309006,김민주,KIA,0,02,H,1,0,0,0,7,0,0,2,2
20240309006,네일,KIA,0,20,H,1,0,0,0,34,3,0,8,8
20240309006,장현식,KIA,0,10,H,1,0,0,0,14,0,0,4,4
20240309006,장민기,KIA,0,02,L,2,2,0,0,22,0,0,2,4
20240309006,이형범,KIA,0,01,H,0,0,0,0,4,0,0,1,1
20240309006,이준영,KIA,0,10,L,1,3,1,1,25,0,0,3,6
20240309006,정해영,KIA,0,10,L,0,1,0,0,18,0,0,3,4
20240309005,엔스,LG,1,40,W,8,1,2,2,64,4,1,15,16
20240309005,백승현,LG,0,10,H,0,0,0,0,14,1,0,3,3
20240309005,켈리,LG,0,20,H,3,0,0,0,23,0,0,6,6
20240309005,이상영,LG,0,10,H,0,1,0,0,11,0,0,3,4
20240309005,유영찬,LG,0,10,L,1,0,0,0,11,2,0,5,5
20240310003,이승민,삼성,1,31,W,0,0,0,0,43,1,0,11,11
20240310003,장필준,삼성,0,10,H,0,0,0,0,19,0,0,3,3
20240310003,이상민,삼성,0,10,H,0,0,0,0,10,0,0,3,3
20240310003,이재익,삼성,0,10,H,2,0,0,0,11,0,0,3,3
20240310003,양현,삼성,0,02,H,0,1,0,0,10,0,0,1,2
20240310003,김태훈,삼성,0,10,H,1,0,0,0,13,1,0,4,4
20240310003,이승현,삼성,0,10,L,0,2,1,1,30,1,0,3,6
20240310008,조영건,키움,1,30,L,0,1,2,1,52,3,0,13,14
20240310008,김윤하,키움,0,20,L,0,3,0,0,32,1,0,6,9
20240310008,조상우,키움,0,10,L,2,1,0,0,16,0,0,2,3
20240310008,김재웅,키움,0,10,L,1,0,1,0,16,2,0,6,6
20240310008,문성현,키움,0,10,L,0,1,0,0,11,0,0,2,3
20240310011,박종훈,SSG,1,40,L,3,3,6,6,69,7,1,19,22
20240310011,송영진,SSG,0,20,L,1,2,2,2,45,4,0,8,11
20240310011,한두솔,SSG,0,10,L,2,0,0,0,10,0,0,3,3
20240310011,이로운,SSG,0,01,L,1,1,5,5,29,4,1,5,6
20240310011,신헌민,SSG,0,02,L,0,0,0,0,13,1,0,2,2
20240310006,윤영철,KIA,1,22,L,3,1,2,2,53,3,0,12,13
20240310006,황동하,KIA,0,21,L,3,3,3,0,45,4,0,12,15
20240310006,임기영,KIA,0,10,L,1,1,1,1,28,3,0,6,7
20240310006,곽도규,KIA,0,10,L,1,0,0,0,16,0,0,3,3
20240310006,전상현,KIA,0,10,L,1,0,0,0,13,0,0,3,3
20240310005,임찬규,LG,1,30,L,0,2,2,2,58,5,0,14,16
20240310005,윤호솔,LG,0,10,L,1,0,0,0,19,1,0,4,4
20240310005,김유영,LG,0,10,L,1,1,0,0,21,1,0,3,4
20240310005,이우찬,LG,0,10,L,0,1,0,0,9,0,0,2,3
20240310005,최동환,LG,0,10,L,0,1,1,1,30,2,0,5,6
20240310005,박명근,LG,0,10,L,1,0,0,0,10,0,0,3,3
20240311006,크로우,KIA,1,40,W,4,0,0,0,40,0,0,12,12
20240311006,윤중현,KIA,0,10,H,2,1,0,0,24,1,0,4,5
20240311006,김대유,KIA,0,10,H,1,0,0,0,12,1,0,3,3
20240311006,박준표,KIA,0,10,H,0,1,0,0,9,0,0,2,3
20240311006,최지민,KIA,0,10,H,1,0,0,0,17,1,0,4,4
20240311006,정해영,KIA,0,10,L,2,0,0,0,15,0,0,3,3
20240311001,알칸타라,두산,1,32,W,3,2,0,0,69,5,0,15,17
20240311001,이병헌,두산,0,01,H,1,0,0,0,4,0,0,1,1
