idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum
20240501011,박종훈,SSG,1,30,L,2,4,6,6,68,8,1,16,20
20240501011,최민준,SSG,0,10,L,1,1,0,0,20,1,0,5,6
20240501011,박민호,SSG,0,20,W,3,1,0,0,28,0,0,6,7
20240501011,노경은,SSG,0,10,H,1,3,0,0,27,0,0,3,6
20240501011,조병현,SSG,0,10,H,1,0,0,0,9,0,0,3,3
20240501011,문승원,SSG,0,10,L,1,0,1,1,22,3,0,6,6
20240501003,이호성,삼성,1,52,W,2,1,2,1,89,5,1,18,22
20240501003,이승현,삼성,0,01,L,0,0,0,0,3,0,0,1,1
20240501003,육선엽,삼성,0,10,L,0,2,0,0,18,1,0,3,5
20240501003,김대우,삼성,0,20,L,2,2,0,0,33,1,0,7,9
20240501008,이종민,키움,1,50,L,2,2,1,1,77,4,0,20,22
20240501008,김성민,키움,0,11,W,1,0,0,0,16,3,0,6,6
20240501008,조상우,키움,0,02,H,1,0,0,0,7,0,0,2,2
20240501008,문성현,키움,0,02,L,1,0,2,2,19,3,0,5,5
20240501008,김재웅,키움,0,01,H,0,0,0,0,2,0,0,1,1
20240501008,주승우,키움,0,10,L,1,0,0,0,15,0,0,3,3
20240501005,최원태,LG,1,70,W,2,1,1,1,92,4,0,24,26
20240501005,김유영,LG,0,10,L,1,0,0,0,7,0,0,3,3
20240501005,정우영,LG,0,10,L,2,1,0,0,22,2,0,5,6
20240501010,원상현,KT,1,31,L,2,2,9,9,73,11,2,21,23
20240501010,문용익,KT,0,12,L,2,2,0,0,32,1,0,6,8
20240501010,주권,KT,0,20,L,0,1,0,0,18,0,0,6,7
20240501010,우규민,KT,0,10,L,1,0,0,0,18,2,0,5,5
20240502011,오원석,SSG,1,40,L,3,4,3,3,79,4,1,15,19
20240502011,고효준,SSG,0,10,W,0,1,0,0,18,0,0,3,4
20240502011,이로운,SSG,0,10,H,1,0,0,0,7,0,0,3,3
20240502011,노경은,SSG,0,10,H,0,0,0,0,8,0,0,3,3
20240502011,조병현,SSG,0,10,H,1,0,0,0,20,0,0,3,3
20240502011,문승원,SSG,0,10,L,1,0,0,0,17,1,0,4,4
20240502003,원태인,삼성,1,60,W,2,2,1,0,92,3,0,21,23
20240502003,임창민,삼성,0,10,H,2,0,0,0,14,0,0,3,3
20240502003,김재윤,삼성,0,10,H,1,0,1,1,11,1,0,4,4
20240502003,오승환,삼성,0,10,L,2,1,0,0,18,0,0,3,4
20240502008,김인범,키움,1,51,L,3,2,5,5,91,8,1,25,27
20240502008,김성민,키움,0,02,L,0,0,0,0,3,0,0,1,1
20240502008,조상우,키움,0,10,L,0,0,0,0,12,0,0,3,3
20240502008,김재웅,키움,0,10,L,0,0,1,1,15,1,0,3,4
20240502005,임찬규,LG,1,50,L,9,1,0,0,88,3,0,17,18
20240502005,이우찬,LG,0,01,L,1,1,2,2,15,1,0,2,3
20240502005,김진성,LG,0,02,H,2,3,0,0,24,0,0,2,5
20240502005,김유영,LG,0,02,L,1,0,2,2,17,2,0,4,4
20240502005,김대현,LG,0,10,L,1,3,0,0,29,1,0,3,6
