idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum
20240901002,박세웅,롯데,1,60,L,4,2,0,0,88,1,0,19,21
20240901002,한현희,롯데,0,00,L,0,1,2,2,9,1,0,1,2
20240901002,진해수,롯데,0,01,H,0,0,0,0,4,0,0,1,1
20240901002,구승민,롯데,0,02,L,0,1,1,1,18,2,0,4,5
20240901002,김강현,롯데,0,02,L,0,1,0,0,21,1,0,2,3
20240901002,김원중,롯데,0,21,L,1,0,0,0,25,0,0,7,7
20240901002,나균안,롯데,0,20,W,4,0,0,0,33,1,0,7,7
20240901009,요키시,NC,1,60,W,1,4,1,1,93,2,0,19,24
20240901009,김시훈,NC,0,10,H,1,0,0,0,17,2,0,5,5
20240901009,류진욱,NC,0,01,L,0,2,0,0,16,0,0,1,3
20240901009,임정호,NC,0,02,L,0,0,0,0,7,0,0,2,2
20240901009,이준호,NC,0,10,L,2,0,1,1,20,3,0,6,6
20240901006,스타우트,KIA,1,40,L,6,2,5,5,97,4,2,16,18
20240901006,김기훈,KIA,0,30,L,2,0,0,0,31,1,0,9,9
20240901006,이준영,KIA,0,02,L,1,1,0,0,9,1,0,2,4
20240901006,전상현,KIA,0,01,W,1,0,0,0,4,0,0,1,1
20240901006,정해영,KIA,0,10,L,1,1,0,0,19,0,0,3,4
20240903001,최원준,두산,1,41,L,1,1,3,3,71,7,1,18,20
20240903001,정철원,두산,0,12,L,1,1,2,2,30,2,1,6,7
20240903001,김강률,두산,0,01,L,0,0,2,2,11,2,0,3,3
20240903001,김민규,두산,0,02,L,1,2,0,0,18,1,0,3,5
20240903001,최종인,두산,0,10,L,1,0,0,0,18,1,0,4,4
20240903002,반즈,롯데,1,70,L,10,1,3,3,105,5,3,25,28
20240903002,나균안,롯데,0,01,L,1,0,1,1,9,1,1,2,2
20240903002,한현희,롯데,0,01,L,0,2,1,1,11,1,0,2,4
20240903002,진해수,롯데,0,01,L,0,0,0,0,2,0,0,1,1
20240903008,후라도,키움,1,42,L,5,2,7,3,103,9,1,23,26
20240903008,조영건,키움,0,11,L,1,1,1,1,37,2,0,6,7
20240903008,박범준,키움,0,10,L,1,0,0,0,8,0,0,3,3
20240903008,윤정현,키움,0,10,L,0,1,3,3,33,4,0,7,8
20240903005,에르난데스,LG,1,60,L,3,3,6,6,91,9,0,25,28
20240903005,이지강,LG,0,10,L,0,0,0,0,10,1,0,3,3
20240903005,정우영,LG,0,02,L,0,0,1,1,11,2,0,4,4
20240903005,임준형,LG,0,01,L,1,0,0,0,5,0,0,1,1
20240904011,오원석,SSG,1,20,L,1,3,4,2,66,4,0,10,13
20240904011,송영진,SSG,0,60,L,3,2,1,1,82,3,1,20,22
20240904010,벤자민,KT,1,60,L,9,0,3,3,108,5,0,23,23
20240904010,김민,KT,0,00,L,0,0,4,3,12,4,0,4,4
20240904010,김민수,KT,0,10,L,0,1,0,0,14,0,0,3,5
20240904010,손동현,KT,0,10,L,2,0,0,0,12,0,0,3,3
20240904001,최승용,두산,1,21,L,5,2,1,1,54,3,1,10,12
20240904001,이영하,두산,0,12,L,2,2,1,1,31,1,0,5,7
20240904001,최지강,두산,0,10,L,1,0,2,2,19,3,0,5,5
20240904001,홍건희,두산,0,10,L,1,0,0,0,19,2,0,5,5
20240904001,이병헌,두산,0,10,L,1,1,0,0,17,0,0,3,4
20240904001,정철원,두산,0,01,L,1,0,2,2,14,2,1,3,3
