idx,team,result,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,r,h,e,b,year,month,day,week,home,away,dbheader,place,audience,starttime,endtime,gametime
20240601005,LG,1,0,1,0,1,1,1,0,0,1,0,3,-,-,-,-,-,-,-,8,14,1,5,2024,6,1,5,두산,LG,0,잠실,23750,17:00,21:02,4:02
20240601001,두산,-1,2,0,0,0,0,0,3,0,0,0,0,-,-,-,-,-,-,-,5,10,1,1,2024,6,1,5,두산,LG,0,잠실,23750,17:00,21:02,4:02
20240601009,NC,1,0,1,0,0,0,0,0,2,1,-,-,-,-,-,-,-,-,-,4,10,0,3,2024,6,1,5,롯데,NC,0,사직,22758,17:02,20:23,3:21
20240601002,롯데,-1,0,0,0,0,2,0,0,0,0,-,-,-,-,-,-,-,-,-,2,7,2,2,2024,6,1,5,롯데,NC,0,사직,22758,17:02,20:23,3:21
20240601004,한화,-1,0,0,3,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,4,6,1,4,2024,6,1,5,삼성,한화,0,대구,24000,17:00,19:49,2:49
20240601003,삼성,1,3,0,0,0,2,0,0,1,-,-,-,-,-,-,-,-,-,-,6,8,1,4,2024,6,1,5,삼성,한화,0,대구,24000,17:00,19:49,2:49
20240601010,KT,-1,0,0,1,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,2,5,2,4,2024,6,1,5,KIA,KT,0,광주,20500,17:01,20:00,2:59
20240601006,KIA,1,0,0,0,1,1,0,2,0,-,-,-,-,-,-,-,-,-,-,4,11,2,5,2024,6,1,5,KIA,KT,0,광주,20500,17:01,20:00,2:59
20240601011,SSG,1,2,0,0,0,5,2,0,0,0,-,-,-,-,-,-,-,-,-,9,11,0,3,2024,6,1,5,키움,SSG,0,고척,10462,17:01,19:53,2:52
20240601008,키움,-1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,5,1,7,2024,6,1,5,키움,SSG,0,고척,10462,17:01,19:53,2:52
20240602005,LG,1,3,0,0,0,1,0,0,0,5,-,-,-,-,-,-,-,-,-,9,16,0,5,2024,6,2,6,두산,LG,0,잠실,23750,14:00,17:37,3:37
20240602001,두산,-1,0,0,0,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,1,6,0,3,2024,6,2,6,두산,LG,0,잠실,23750,14:00,17:37,3:37
20240602011,SSG,1,2,0,1,0,3,0,0,0,0,-,-,-,-,-,-,-,-,-,6,8,0,7,2024,6,2,6,키움,SSG,0,고척,8745,14:00,17:22,3:22
20240602008,키움,-1,0,0,0,2,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,8,0,5,2024,6,2,6,키움,SSG,0,고척,8745,14:00,17:22,3:22
20240602009,NC,-1,0,2,1,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,4,10,0,3,2024,6,2,6,롯데,NC,0,사직,21896,17:01,20:28,3:27
20240602002,롯데,1,0,0,0,2,0,7,3,1,-,-,-,-,-,-,-,-,-,-,13,13,1,5,2024,6,2,6,롯데,NC,0,사직,21896,17:01,20:28,3:27
20240602004,한화,-1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,8,0,2,2024,6,2,6,삼성,한화,0,대구,24000,17:00,19:45,2:45
20240602003,삼성,1,0,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,1,8,0,3,2024,6,2,6,삼성,한화,0,대구,24000,17:00,19:45,2:45
20240602010,KT,1,3,0,1,4,0,0,1,0,2,-,-,-,-,-,-,-,-,-,11,12,2,5,2024,6,2,6,KIA,KT,0,광주,20500,17:00,19:54,2:54
20240602006,KIA,-1,0,0,0,0,0,0,0,2,1,-,-,-,-,-,-,-,-,-,3,7,1,2,2024,6,2,6,KIA,KT,0,광주,20500,17:00,19:54,2:54
20240604008,키움,1,1,6,0,0,1,0,1,2,0,-,-,-,-,-,-,-,-,-,11,21,1,8,2024,6,4,1,LG,키움,0,잠실,14490,18:30,21:32,3:02
20240604005,LG,-1,0,0,0,0,1,0,1,1,0,-,-,-,-,-,-,-,-,-,3,7,1,2,2024,6,4,1,LG,키움,0,잠실,14490,18:30,21:32,3:02
20240604003,삼성,1,0,0,0,0,0,0,0,3,0,-,-,-,-,-,-,-,-,-,3,7,0,3,2024,6,4,1,SSG,삼성,0,문학,10135,18:29,21:19,2:50
20240604011,SSG,-1,0,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,8,0,1,2024,6,4,1,SSG,삼성,0,문학,10135,18:29,21:19,2:50
20240604001,두산,1,0,0,0,0,0,0,1,0,0,3,-,-,-,-,-,-,-,-,4,12,0,6,2024,6,4,1,NC,두산,0,창원,5448,18:30,22:45,4:15
20240604009,NC,-1,0,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,-,-,1,6,2,9,2024,6,4,1,NC,두산,0,창원,5448,18:30,22:45,4:15
20240604004,한화,1,0,3,0,0,0,3,0,2,0,-,-,-,-,-,-,-,-,-,8,10,0,5,2024,6,4,1,KT,한화,0,수원,11426,18:30,21:45,3:15
20240604010,KT,-1,0,0,1,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,2,7,0,9,2024,6,4,1,KT,한화,0,수원,11426,18:30,21:45,3:15
20240604002,롯데,1,1,4,0,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,6,13,0,3,2024,6,4,1,KIA,롯데,0,광주,16158,18:30,21:07,2:37
20240604006,KIA,-1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,5,0,0,2024,6,4,1,KIA,롯데,0,광주,16158,18:30,21:07,2:37
20240605008,키움,-1,0,0,0,0,2,0,0,0,0,-,-,-,-,-,-,-,-,-,2,7,1,9,2024,6,5,2,LG,키움,0,잠실,16681,18:30,21:57,3:27
20240605005,LG,1,0,0,0,0,1,0,1,2,-,-,-,-,-,-,-,-,-,-,4,8,2,8,2024,6,5,2,LG,키움,0,잠실,16681,18:30,21:57,3:27
20240605003,삼성,-1,0,2,0,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,3,7,0,4,2024,6,5,2,SSG,삼성,0,문학,14532,18:29,21:38,3:09
20240605011,SSG,1,0,0,1,0,4,1,0,1,-,-,-,-,-,-,-,-,-,-,7,12,2,4,2024,6,5,2,SSG,삼성,0,문학,14532,18:29,21:38,3:09
20240605001,두산,1,0,0,0,0,1,1,0,0,0,1,1,-,-,-,-,-,-,-,4,10,0,5,2024,6,5,2,NC,두산,0,창원,9892,18:30,22:41,4:11
20240605009,NC,-1,0,1,1,0,0,0,0,0,0,1,0,-,-,-,-,-,-,-,3,8,1,5,2024,6,5,2,NC,두산,0,창원,9892,18:30,22:41,4:11
20240605004,한화,1,0,4,0,1,0,0,0,7,0,-,-,-,-,-,-,-,-,-,12,17,0,7,2024,6,5,2,KT,한화,0,수원,14626,18:30,21:55,3:25
20240605010,KT,-1,1,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,5,2,2,2024,6,5,2,KT,한화,0,수원,14626,18:30,21:55,3:25
20240605002,롯데,1,0,0,2,0,1,0,1,4,1,-,-,-,-,-,-,-,-,-,9,12,1,5,2024,6,5,2,KIA,롯데,0,광주,19045,18:30,21:59,3:29
20240605006,KIA,-1,0,0,0,0,0,2,0,1,0,-,-,-,-,-,-,-,-,-,3,7,1,1,2024,6,5,2,KIA,롯데,0,광주,19045,18:30,21:59,3:29
20240606003,삼성,-1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,3,0,7,2024,6,6,3,SSG,삼성,0,문학,23000,14:00,17:02,3:02
20240606011,SSG,1,1,0,2,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,4,6,1,6,2024,6,6,3,SSG,삼성,0,문학,23000,14:00,17:02,3:02
20240606002,롯데,-1,0,0,2,0,1,0,0,1,0,-,-,-,-,-,-,-,-,-,4,7,0,1,2024,6,6,3,KIA,롯데,0,광주,20500,14:00,16:58,2:58
20240606006,KIA,1,1,0,0,0,0,2,0,2,-,-,-,-,-,-,-,-,-,-,5,7,1,5,2024,6,6,3,KIA,롯데,0,광주,20500,14:00,16:58,2:58
20240606008,키움,-1,0,0,2,0,1,0,0,1,0,-,-,-,-,-,-,-,-,-,4,10,1,3,2024,6,6,3,LG,키움,0,잠실,23750,17:00,20:17,3:17
20240606005,LG,1,3,0,0,2,0,2,0,1,-,-,-,-,-,-,-,-,-,-,8,11,0,7,2024,6,6,3,LG,키움,0,잠실,23750,17:00,20:17,3:17
20240606001,두산,1,3,0,2,0,0,0,3,0,0,-,-,-,-,-,-,-,-,-,8,14,0,3,2024,6,6,3,NC,두산,0,창원,14517,17:01,19:58,2:57
20240606009,NC,-1,2,0,0,0,0,1,1,0,0,-,-,-,-,-,-,-,-,-,4,9,0,4,2024,6,6,3,NC,두산,0,창원,14517,17:01,19:58,2:57
20240606004,한화,1,0,0,0,0,0,0,1,0,5,-,-,-,-,-,-,-,-,-,6,13,1,0,2024,6,6,3,KT,한화,0,수원,18700,17:00,19:53,2:53
20240606010,KT,-1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,6,0,2,2024,6,6,3,KT,한화,0,수원,18700,17:00,19:53,2:53
20240607009,NC,1,0,0,1,2,1,0,2,0,0,-,-,-,-,-,-,-,-,-,6,11,1,3,2024,6,7,4,한화,NC,0,한밭,12000,18:30,21:31,3:01
20240607004,한화,-1,0,2,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,9,0,3,2024,6,7,4,한화,NC,0,한밭,12000,18:30,21:31,3:01
20240607006,KIA,-1,0,0,2,0,2,0,1,0,0,0,0,-,-,-,-,-,-,-,5,15,2,5,2024,6,7,4,두산,KIA,0,잠실,23750,18:31,23:01,4:30
