idx,team,result,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,r,h,e,b,year,month,day,week,home,away,dbheader,place,audience,starttime,endtime,gametime
20240402002,롯데,1,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,1,7,2,4,2024,4,2,1,한화,롯데,0,한밭,12000,18:30,22:02,3:32
20240402004,한화,-1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,5,1,7,2024,4,2,1,한화,롯데,0,한밭,12000,18:30,22:02,3:32
20240402009,NC,1,0,2,0,0,0,3,2,0,0,-,-,-,-,-,-,-,-,-,7,10,0,6,2024,4,2,1,LG,NC,0,잠실,11845,18:30,22:14,3:44
20240402005,LG,-1,0,0,0,2,2,0,1,0,0,-,-,-,-,-,-,-,-,-,5,11,0,7,2024,4,2,1,LG,NC,0,잠실,11845,18:30,22:14,3:44
20240402001,두산,-1,1,0,3,0,1,1,0,0,0,-,-,-,-,-,-,-,-,-,6,10,1,6,2024,4,2,1,SSG,두산,0,문학,12379,18:29,22:03,3:34
20240402011,SSG,1,1,0,0,6,0,1,0,5,-,-,-,-,-,-,-,-,-,-,13,15,2,4,2024,4,2,1,SSG,두산,0,문학,12379,18:29,22:03,3:34
20240402008,키움,1,0,0,0,2,2,4,0,0,0,-,-,-,-,-,-,-,-,-,8,11,1,4,2024,4,2,1,삼성,키움,0,대구,8541,18:30,21:07,2:37
20240402003,삼성,-1,0,0,0,1,0,0,0,2,0,-,-,-,-,-,-,-,-,-,3,7,0,2,2024,4,2,1,삼성,키움,0,대구,8541,18:30,21:07,2:37
20240402006,KIA,-1,0,0,0,0,0,0,0,1,5,-,-,-,-,-,-,-,-,-,6,15,2,2,2024,4,2,1,KT,KIA,0,수원,9682,18:30,21:41,3:11
20240402010,KT,1,0,0,0,1,0,3,2,4,-,-,-,-,-,-,-,-,-,-,10,9,1,6,2024,4,2,1,KT,KIA,0,수원,9682,18:30,21:41,3:11
20240403009,NC,-1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,7,2,6,2024,4,3,2,LG,NC,0,잠실,10239,18:30,21:18,2:48
20240403005,LG,1,1,3,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,5,8,0,4,2024,4,3,2,LG,NC,0,잠실,10239,18:30,21:18,2:48
20240403001,두산,-1,2,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,7,1,2,2024,4,3,2,SSG,두산,0,문학,12128,18:30,21:33,3:03
20240403011,SSG,1,0,0,0,0,3,0,1,1,-,-,-,-,-,-,-,-,-,-,5,8,1,3,2024,4,3,2,SSG,두산,0,문학,12128,18:30,21:33,3:03
20240403006,KIA,1,0,1,0,2,0,2,0,0,0,-,-,-,-,-,-,-,-,-,5,13,1,1,2024,4,3,2,KT,KIA,0,수원,8050,18:30,21:18,2:48
20240403010,KT,-1,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,7,0,0,2024,4,3,2,KT,KIA,0,수원,8050,18:30,21:18,2:48
20240404002,롯데,-1,0,0,1,1,2,0,0,0,1,-,-,-,-,-,-,-,-,-,5,11,2,3,2024,4,4,3,한화,롯데,0,한밭,12000,18:31,21:44,3:13
20240404004,한화,1,0,0,0,1,3,0,2,0,-,-,-,-,-,-,-,-,-,-,6,9,1,3,2024,4,4,3,한화,롯데,0,한밭,12000,18:31,21:44,3:13
20240404009,NC,-1,1,5,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,7,14,0,7,2024,4,4,3,LG,NC,0,잠실,11406,18:31,22:47,4:16
