idx,team,result,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,r,h,e,b,year,month,day,week,home,away,dbheader,place,audience,starttime,endtime,gametime
20240801003,삼성,1,2,0,0,0,0,0,2,3,0,-,-,-,-,-,-,-,-,-,7,15,0,8,2024,8,1,3,LG,삼성,0,잠실,23315,18:30,21:47,3:17
20240801005,LG,-1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,10,1,2,2024,8,1,3,LG,삼성,0,잠실,23315,18:30,21:47,3:17
20240801002,롯데,1,0,0,0,0,0,0,1,3,0,-,-,-,-,-,-,-,-,-,4,5,1,5,2024,8,1,3,SSG,롯데,0,문학,18828,18:29,21:42,3:13
20240801011,SSG,-1,1,0,0,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,2,7,1,3,2024,8,1,3,SSG,롯데,0,문학,18828,18:29,21:42,3:13
20240801004,한화,1,4,0,2,4,0,0,3,0,1,-,-,-,-,-,-,-,-,-,14,17,1,4,2024,8,1,3,KT,한화,0,수원,15197,18:30,22:15,3:45
20240801010,KT,-1,1,0,0,0,1,1,1,4,0,-,-,-,-,-,-,-,-,-,8,17,3,6,2024,8,1,3,KT,한화,0,수원,15197,18:30,22:15,3:45
20240801001,두산,1,0,0,0,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,1,8,1,6,2024,8,1,3,KIA,두산,0,광주,20500,18:30,21:57,3:27
20240801006,KIA,-1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,5,2,6,2024,8,1,3,KIA,두산,0,광주,20500,18:30,21:57,3:27
20240801009,NC,-1,4,2,3,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,9,13,0,5,2024,8,1,3,키움,NC,0,고척,7306,18:31,22:43,4:12
20240801008,키움,1,1,2,0,0,4,3,0,4,-,-,-,-,-,-,-,-,-,-,14,14,2,9,2024,8,1,3,키움,NC,0,고척,7306,18:31,22:43,4:12
20240802006,KIA,-1,0,0,0,1,0,1,0,1,0,-,-,-,-,-,-,-,-,-,3,8,0,3,2024,8,2,4,한화,KIA,0,한밭,12000,18:31,21:44,3:13
20240802004,한화,1,3,0,0,0,0,3,0,4,-,-,-,-,-,-,-,-,-,-,10,14,0,5,2024,8,2,4,한화,KIA,0,한밭,12000,18:31,21:44,3:13
20240802008,키움,1,0,0,2,0,0,2,0,0,0,2,-,-,-,-,-,-,-,-,6,12,1,6,2024,8,2,4,두산,키움,0,잠실,13209,18:30,22:14,3:44
20240802001,두산,-1,0,0,0,0,0,4,0,0,0,0,-,-,-,-,-,-,-,-,4,12,0,3,2024,8,2,4,두산,키움,0,잠실,13209,18:30,22:14,3:44
20240802011,SSG,-1,3,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,5,2,1,2024,8,2,4,삼성,SSG,0,대구,22336,18:31,21:08,2:37
20240802003,삼성,1,0,0,0,0,0,1,0,1,2,-,-,-,-,-,-,-,-,-,4,9,0,2,2024,8,2,4,삼성,SSG,0,대구,22336,18:31,21:08,2:37
20240802010,KT,1,1,0,0,3,1,0,2,0,0,2,-,-,-,-,-,-,-,-,9,17,0,10,2024,8,2,4,NC,KT,0,창원,9845,18:30,22:45,4:15
20240802009,NC,-1,0,6,0,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,7,8,1,4,2024,8,2,4,NC,KT,0,창원,9845,18:30,22:45,4:15
20240803006,KIA,1,0,0,1,0,3,0,0,2,1,-,-,-,-,-,-,-,-,-,7,15,1,3,2024,8,3,5,한화,KIA,0,한밭,12000,18:00,21:45,3:07
20240803004,한화,-1,0,3,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,9,0,1,2024,8,3,5,한화,KIA,0,한밭,12000,18:00,21:45,3:07
20240803008,키움,1,0,0,3,6,1,0,3,2,0,-,-,-,-,-,-,-,-,-,15,23,1,3,2024,8,3,5,두산,키움,0,잠실,15527,18:00,21:25,3:25
20240803001,두산,-1,0,0,0,0,1,0,1,3,0,-,-,-,-,-,-,-,-,-,5,13,0,3,2024,8,3,5,두산,키움,0,잠실,15527,18:00,21:25,3:25
20240803011,SSG,-1,0,0,0,1,0,1,0,2,0,-,-,-,-,-,-,-,-,-,4,9,0,1,2024,8,3,5,삼성,SSG,0,대구,24000,18:00,21:05,3:05
20240803003,삼성,1,2,1,5,0,0,2,2,0,-,-,-,-,-,-,-,-,-,-,12,17,1,6,2024,8,3,5,삼성,SSG,0,대구,24000,18:00,21:05,3:05
