idx,team,result,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,r,h,e,b,year,month,day,week,home,away,dbheader,place,audience,starttime,endtime,gametime
20240702010,KT,1,0,0,0,0,3,0,0,0,0,0,3,-,-,-,-,-,-,-,6,13,1,2,2024,7,2,1,한화,KT,0,한밭,6794,18:30,22:13,3:43
20240702004,한화,-1,0,2,0,0,1,0,0,0,0,0,2,-,-,-,-,-,-,-,5,11,0,2,2024,7,2,1,한화,KT,0,한밭,6794,18:30,22:13,3:43
20240702006,KIA,1,0,0,0,1,0,0,0,2,1,5,-,-,-,-,-,-,-,-,9,16,1,3,2024,7,2,1,삼성,KIA,0,대구,13230,18:30,22:40,4:10
20240702003,삼성,-1,2,0,2,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,5,8,1,6,2024,7,2,1,삼성,KIA,0,대구,13230,18:30,22:40,4:10
20240702005,LG,-1,0,0,1,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,2,8,0,1,2024,7,2,1,키움,LG,0,고척,10185,18:30,21:14,2:44
20240702008,키움,1,0,1,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,4,11,2,3,2024,7,2,1,키움,LG,0,고척,10185,18:30,21:14,2:44
20240703010,KT,1,0,0,0,0,0,1,1,1,0,-,-,-,-,-,-,-,-,-,3,10,0,1,2024,7,3,2,한화,KT,0,한밭,9009,18:30,21:22,2:52
20240703004,한화,-1,0,0,0,0,0,0,0,2,0,-,-,-,-,-,-,-,-,-,2,6,0,3,2024,7,3,2,한화,KT,0,한밭,9009,18:30,21:22,2:52
20240703002,롯데,-1,1,5,0,0,0,1,0,1,0,-,-,-,-,-,-,-,-,-,8,12,1,10,2024,7,3,2,두산,롯데,0,잠실,19727,18:29,22:45,4:16
20240703001,두산,1,0,1,2,0,4,0,2,4,-,-,-,-,-,-,-,-,-,-,13,13,1,7,2024,7,3,2,두산,롯데,0,잠실,19727,18:29,22:45,4:16
20240703006,KIA,1,1,1,1,0,0,0,2,1,0,-,-,-,-,-,-,-,-,-,6,14,1,4,2024,7,3,2,삼성,KIA,0,대구,17472,18:30,22:00,3:30
20240703003,삼성,-1,0,0,0,1,3,0,0,0,0,-,-,-,-,-,-,-,-,-,4,7,1,3,2024,7,3,2,삼성,KIA,0,대구,17472,18:30,22:00,3:30
20240703011,SSG,-1,0,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,7,0,3,2024,7,3,2,NC,SSG,0,창원,6384,18:30,21:13,2:43
20240703009,NC,1,0,0,4,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,4,9,1,0,2024,7,3,2,NC,SSG,0,창원,6384,18:30,21:13,2:43
20240703005,LG,-1,0,0,0,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,1,8,0,2,2024,7,3,2,키움,LG,0,고척,11135,18:31,21:12,2:41
20240703008,키움,1,2,0,2,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,4,8,0,1,2024,7,3,2,키움,LG,0,고척,11135,18:31,21:12,2:41
20240704010,KT,-1,1,0,4,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,5,9,4,3,2024,7,4,3,한화,KT,0,한밭,8330,18:30,21:54,3:24
20240704004,한화,1,0,1,2,5,0,2,3,0,-,-,-,-,-,-,-,-,-,-,13,14,1,4,2024,7,4,3,한화,KT,0,한밭,8330,18:30,21:54,3:24
20240704002,롯데,-1,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,3,4,1,9,2024,7,4,3,두산,롯데,0,잠실,19372,18:30,22:09,3:27
20240704001,두산,1,0,0,0,2,2,1,0,1,-,-,-,-,-,-,-,-,-,-,6,10,1,4,2024,7,4,3,두산,롯데,0,잠실,19372,18:30,22:09,3:27
