idx,team,result,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,r,h,e,b,year,month,day,week,home,away,dbheader,place,audience,starttime,endtime,gametime
20240309003,삼성,-1,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,5,0,4,2024,3,9,5,한화,삼성,0,한밭,12000,12:59,15:19,2:20
20240309004,한화,1,1,0,0,5,0,0,0,0,-,-,-,-,-,-,-,-,-,-,6,10,0,4,2024,3,9,5,한화,삼성,0,한밭,12000,12:59,15:19,2:20
20240309008,키움,-1,2,0,0,1,5,0,0,0,0,-,-,-,-,-,-,-,-,-,8,11,2,5,2024,3,9,5,두산,키움,0,이천(두산),450,13:00,16:06,3:06
20240309001,두산,1,4,2,0,0,2,0,0,4,-,-,-,-,-,-,-,-,-,-,12,13,0,6,2024,3,9,5,두산,키움,0,이천(두산),450,13:00,16:06,3:06
20240309011,SSG,-1,0,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,9,0,1,2024,3,9,5,롯데,SSG,0,사직,9483,13:00,15:44,2:44
20240309002,롯데,1,0,0,0,0,0,1,4,1,-,-,-,-,-,-,-,-,-,-,6,9,1,6,2024,3,9,5,롯데,SSG,0,사직,9483,13:00,15:44,2:44
20240309006,KIA,1,0,3,0,0,2,0,1,4,0,-,-,-,-,-,-,-,-,-,10,12,1,7,2024,3,9,5,NC,KIA,0,창원,6710,13:01,16:04,3:03
20240309009,NC,-1,0,0,2,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,3,6,0,8,2024,3,9,5,NC,KIA,0,창원,6710,13:01,16:04,3:03
20240309005,LG,1,0,1,2,0,0,0,1,0,1,-,-,-,-,-,-,-,-,-,5,9,0,3,2024,3,9,5,KT,LG,0,수원,7537,13:00,15:26,2:26
20240309010,KT,-1,0,0,0,2,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,7,0,2,2024,3,9,5,KT,LG,0,수원,7537,13:00,15:26,2:26
