idx,team,result,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,r,h,e,b,year,month,day,week,home,away,dbheader,place,audience,starttime,endtime,gametime
20240501011,SSG,1,0,0,0,1,0,1,6,0,0,-,-,-,-,-,-,-,-,-,8,8,1,7,2024,5,1,2,한화,SSG,0,한밭,12000,18:30,22:24,3:54
20240501004,한화,-1,2,2,1,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,7,12,2,9,2024,5,1,2,한화,SSG,0,한밭,12000,18:30,22:24,3:54
20240501003,삼성,1,1,0,0,0,0,4,4,0,0,-,-,-,-,-,-,-,-,-,9,12,0,3,2024,5,1,2,두산,삼성,0,잠실,23750,18:31,21:22,2:51
20240501001,두산,-1,0,1,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,2,7,2,5,2024,5,1,2,두산,삼성,0,잠실,23750,18:31,21:22,2:51
20240501008,키움,1,0,0,0,0,0,0,5,1,0,-,-,-,-,-,-,-,-,-,6,13,1,4,2024,5,1,2,롯데,키움,0,사직,14791,18:31,21:47,3:16
20240501002,롯데,-1,0,0,0,0,1,0,0,2,0,-,-,-,-,-,-,-,-,-,3,10,1,2,2024,5,1,2,롯데,키움,0,사직,14791,18:31,21:47,3:16
20240501005,LG,1,0,0,0,0,4,4,1,1,0,-,-,-,-,-,-,-,-,-,10,15,0,3,2024,5,1,2,NC,LG,0,창원,10397,18:30,21:20,2:50
20240501009,NC,-1,0,0,1,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,6,2,2,2024,5,1,2,NC,LG,0,창원,10397,18:30,21:20,2:50
20240501010,KT,-1,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,8,0,1,2024,5,1,2,KIA,KT,0,광주,17402,18:30,20:53,2:23
20240501006,KIA,1,3,0,1,5,0,0,0,0,-,-,-,-,-,-,-,-,-,-,9,14,0,5,2024,5,1,2,KIA,KT,0,광주,17402,18:30,20:53,2:23
20240502011,SSG,1,0,2,0,0,1,1,0,0,0,-,-,-,-,-,-,-,-,-,4,11,1,2,2024,5,2,3,한화,SSG,0,한밭,10890,18:30,22:02,3:32
20240502004,한화,-1,0,1,2,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,5,1,5,2024,5,2,3,한화,SSG,0,한밭,10890,18:30,22:02,3:32
20240502003,삼성,1,0,1,0,0,1,0,0,1,1,-,-,-,-,-,-,-,-,-,4,13,1,4,2024,5,2,3,두산,삼성,0,잠실,20395,18:30,21:16,2:46
20240502001,두산,-1,0,0,0,1,0,0,0,1,0,-,-,-,-,-,-,-,-,-,2,4,1,3,2024,5,2,3,두산,삼성,0,잠실,20395,18:30,21:16,2:46
20240502008,키움,-1,1,0,3,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,5,11,1,4,2024,5,2,3,롯데,키움,0,사직,12569,18:30,21:48,3:18
20240502002,롯데,1,0,1,0,0,4,0,0,1,-,-,-,-,-,-,-,-,-,-,6,9,0,2,2024,5,2,3,롯데,키움,0,사직,12569,18:30,21:48,3:18
20240502005,LG,1,0,0,4,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,5,8,1,7,2024,5,2,3,NC,LG,0,창원,6338,18:30,22:39,4:09
20240502009,NC,-1,0,0,0,0,0,2,2,0,0,0,-,-,-,-,-,-,-,-,4,9,0,9,2024,5,2,3,NC,LG,0,창원,6338,18:30,22:39,4:09
20240502010,KT,1,0,0,5,0,0,0,1,6,0,-,-,-,-,-,-,-,-,-,12,10,0,4,2024,5,2,3,KIA,KT,0,광주,16502,18:30,21:43,3:13
20240502006,KIA,-1,1,2,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,5,11,5,3,2024,5,2,3,KIA,KT,0,광주,16502,18:30,21:43,3:13
20240503001,두산,1,1,0,2,2,0,0,0,0,1,-,-,-,-,-,-,-,-,-,6,11,1,2,2024,5,3,4,LG,두산,0,잠실,23750,18:31,21:42,3:11
20240503005,LG,-1,0,1,0,0,0,0,2,1,0,-,-,-,-,-,-,-,-,-,4,10,3,4,2024,5,3,4,LG,두산,0,잠실,23750,18:31,21:42,3:11
20240503009,NC,1,0,0,5,1,1,10,1,0,1,-,-,-,-,-,-,-,-,-,19,14,0,11,2024,5,3,4,SSG,NC,0,문학,13737,18:29,22:10,3:41
20240503011,SSG,-1,0,0,0,3,0,0,0,2,0,-,-,-,-,-,-,-,-,-,5,10,0,5,2024,5,3,4,SSG,NC,0,문학,13737,18:29,22:10,3:41
20240503002,롯데,1,0,0,0,3,1,0,2,0,2,-,-,-,-,-,-,-,-,-,8,10,0,4,2024,5,3,4,삼성,롯데,0,대구,24000,18:30,22:32,4:02
20240503003,삼성,-1,1,4,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,7,10,1,8,2024,5,3,4,삼성,롯데,0,대구,24000,18:30,22:32,4:02
20240503008,키움,-1,0,0,0,0,0,0,1,0,0,0,-,-,-,-,-,-,-,-,1,4,1,1,2024,5,3,4,KT,키움,0,수원,8213,18:30,21:06,2:36
20240503010,KT,1,0,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,2,5,1,4,2024,5,3,4,KT,키움,0,수원,8213,18:30,21:06,2:36
20240503004,한화,1,0,1,0,0,2,0,1,0,0,-,-,-,-,-,-,-,-,-,4,11,1,4,2024,5,3,4,KIA,한화,0,광주,20500,18:30,21:35,3:05
20240503006,KIA,-1,0,0,0,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,2,7,0,3,2024,5,3,4,KIA,한화,0,광주,20500,18:30,21:35,3:05
20240504001,두산,1,2,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,10,0,3,2024,5,4,5,LG,두산,0,잠실,23750,14:01,17:00,2:59
20240504005,LG,-1,0,0,0,0,2,0,0,0,0,-,-,-,-,-,-,-,-,-,2,6,1,6,2024,5,4,5,LG,두산,0,잠실,23750,14:01,17:00,2:59
20240504009,NC,1,0,0,0,3,0,3,1,1,0,-,-,-,-,-,-,-,-,-,8,12,0,12,2024,5,4,5,SSG,NC,0,문학,22079,17:00,21:23,4:23
20240504011,SSG,-1,1,0,1,0,0,1,3,0,0,-,-,-,-,-,-,-,-,-,6,9,0,10,2024,5,4,5,SSG,NC,0,문학,22079,17:00,21:23,4:23
20240504002,롯데,1,1,0,0,0,0,0,6,1,1,-,-,-,-,-,-,-,-,-,9,17,0,3,2024,5,4,5,삼성,롯데,0,대구,24000,17:00,20:14,3:14
20240504003,삼성,-1,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,12,2,0,2024,5,4,5,삼성,롯데,0,대구,24000,17:00,20:14,3:14
20240504008,키움,-1,0,1,0,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,2,8,0,1,2024,5,4,5,KT,키움,0,수원,14620,17:00,19:41,2:41
20240504010,KT,1,1,1,1,1,1,0,0,1,-,-,-,-,-,-,-,-,-,-,6,14,1,4,2024,5,4,5,KT,키움,0,수원,14620,17:00,19:41,2:41
20240504004,한화,-1,0,0,0,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,2,7,0,3,2024,5,4,5,KIA,한화,0,광주,20500,16:59,19:49,2:50
20240504006,KIA,1,5,4,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,10,15,0,4,2024,5,4,5,KIA,한화,0,광주,20500,16:59,19:49,2:50
20240507011,SSG,1,0,0,0,3,0,0,1,0,0,-,-,-,-,-,-,-,-,-,4,9,1,8,2024,5,7,1,LG,SSG,0,잠실,13387,18:30,21:43,3:13
20240507005,LG,-1,0,0,0,0,1,1,0,0,0,-,-,-,-,-,-,-,-,-,2,8,1,3,2024,5,7,1,LG,SSG,0,잠실,13387,18:30,21:43,3:13
20240507001,두산,1,0,4,1,0,3,0,1,4,0,-,-,-,-,-,-,-,-,-,13,17,1,4,2024,5,7,1,키움,두산,0,고척,7339,18:30,21:16,2:46
20240507008,키움,-1,0,0,0,0,0,3,1,0,0,-,-,-,-,-,-,-,-,-,4,8,2,2,2024,5,7,1,키움,두산,0,고척,7339,18:30,21:16,2:46
20240508011,SSG,-1,3,0,0,0,2,0,0,0,0,-,-,-,-,-,-,-,-,-,5,7,0,3,2024,5,8,2,LG,SSG,0,잠실,15699,18:30,21:32,3:02
20240508005,LG,1,1,0,0,0,4,2,1,0,-,-,-,-,-,-,-,-,-,-,8,5,0,9,2024,5,8,2,LG,SSG,0,잠실,15699,18:30,21:32,3:02
20240508004,한화,-1,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,1,4,2,1,2024,5,8,2,롯데,한화,0,사직,11407,18:30,21:15,2:45
20240508002,롯데,1,1,0,0,0,4,0,0,1,-,-,-,-,-,-,-,-,-,-,6,10,0,2,2024,5,8,2,롯데,한화,0,사직,11407,18:30,21:15,2:45
20240508006,KIA,1,0,0,0,0,0,0,0,1,1,0,0,2,-,-,-,-,-,-,4,12,2,8,2024,5,8,2,삼성,KIA,0,대구,15421,18:30,23:02,4:32
20240508003,삼성,-1,0,0,0,0,0,1,1,0,0,0,0,0,-,-,-,-,-,-,2,6,0,3,2024,5,8,2,삼성,KIA,0,대구,15421,18:30,23:02,4:32
20240508009,NC,-1,0,0,0,3,0,1,0,2,0,0,0,-,-,-,-,-,-,-,6,12,3,3,2024,5,8,2,KT,NC,0,수원,4480,18:30,22:40,4:10
20240508010,KT,1,0,2,1,1,0,0,2,0,0,0,1,-,-,-,-,-,-,-,7,11,1,5,2024,5,8,2,KT,NC,0,수원,4480,18:30,22:40,4:10
20240508001,두산,1,0,0,1,0,0,1,0,3,1,-,-,-,-,-,-,-,-,-,6,13,0,3,2024,5,8,2,키움,두산,0,고척,6405,18:30,21:19,2:49
20240508008,키움,-1,0,0,1,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,6,1,1,2024,5,8,2,키움,두산,0,고척,6405,18:30,21:19,2:49
20240509011,SSG,-1,0,0,0,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,1,5,0,4,2024,5,9,3,LG,SSG,0,잠실,16823,18:31,21:22,2:51
20240509005,LG,1,0,0,0,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,3,4,0,4,2024,5,9,3,LG,SSG,0,잠실,16823,18:31,21:22,2:51
20240509004,한화,-1,2,0,0,3,0,0,0,0,0,-,-,-,-,-,-,-,-,-,5,13,2,3,2024,5,9,3,롯데,한화,0,사직,12774,18:30,22:33,4:03
20240509002,롯데,1,4,1,3,0,0,2,0,8,-,-,-,-,-,-,-,-,-,-,18,19,0,8,2024,5,9,3,롯데,한화,0,사직,12774,18:30,22:33,4:03
20240509006,KIA,-1,0,0,2,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,3,0,5,2024,5,9,3,삼성,KIA,0,대구,16769,18:30,21:33,3:03
20240509003,삼성,1,0,1,0,0,0,1,0,3,-,-,-,-,-,-,-,-,-,-,5,9,1,6,2024,5,9,3,삼성,KIA,0,대구,16769,18:30,21:33,3:03
20240509009,NC,-1,1,0,0,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,2,7,1,3,2024,5,9,3,KT,NC,0,수원,6369,18:30,21:26,2:56
20240509010,KT,1,1,0,1,1,0,0,1,2,-,-,-,-,-,-,-,-,-,-,6,13,1,2,2024,5,9,3,KT,NC,0,수원,6369,18:30,21:26,2:56
20240509001,두산,1,0,2,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,5,14,0,1,2024,5,9,3,키움,두산,0,고척,8658,18:31,21:23,2:52
20240509008,키움,-1,0,1,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,2,7,0,2,2024,5,9,3,키움,두산,0,고척,8658,18:31,21:23,2:52
20240510008,키움,-1,0,0,0,0,0,1,3,0,0,0,-,-,-,-,-,-,-,-,4,12,0,2,2024,5,10,4,한화,키움,0,한밭,12000,18:30,22:06,3:36
20240510004,한화,1,0,3,0,0,0,0,0,1,0,1,-,-,-,-,-,-,-,-,5,15,2,5,2024,5,10,4,한화,키움,0,한밭,12000,18:30,22:06,3:36
20240510010,KT,-1,0,2,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,10,2,8,2024,5,10,4,두산,KT,0,잠실,13013,18:31,21:54,3:23
20240510001,두산,1,2,0,1,1,1,0,1,1,-,-,-,-,-,-,-,-,-,-,7,14,0,3,2024,5,10,4,두산,KT,0,잠실,13013,18:31,21:54,3:23
20240510005,LG,1,2,0,0,0,0,4,1,2,0,-,-,-,-,-,-,-,-,-,9,11,1,8,2024,5,10,4,롯데,LG,0,사직,15731,18:31,21:36,3:05
20240510002,롯데,-1,0,0,1,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,6,5,3,2024,5,10,4,롯데,LG,0,사직,15731,18:31,21:36,3:05
20240510003,삼성,-1,0,0,0,0,0,0,0,3,0,-,-,-,-,-,-,-,-,-,3,4,1,4,2024,5,10,4,NC,삼성,0,창원,12438,18:30,21:54,3:24
20240510009,NC,1,0,0,0,0,1,0,9,0,-,-,-,-,-,-,-,-,-,-,10,11,2,8,2024,5,10,4,NC,삼성,0,창원,12438,18:30,21:54,3:24
20240510011,SSG,1,0,0,1,0,0,0,0,3,0,-,-,-,-,-,-,-,-,-,4,9,0,4,2024,5,10,4,KIA,SSG,0,광주,18895,18:30,21:40,3:10
20240510006,KIA,-1,0,0,0,0,0,0,2,0,0,-,-,-,-,-,-,-,-,-,2,10,0,2,2024,5,10,4,KIA,SSG,0,광주,18895,18:30,21:40,3:10
20240511008,키움,1,0,0,2,0,0,1,0,4,0,-,-,-,-,-,-,-,-,-,7,11,2,8,2024,5,11,5,한화,키움,0,한밭,12000,14:00,17:13,3:13
20240511004,한화,-1,0,0,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,1,6,0,3,2024,5,11,5,한화,키움,0,한밭,12000,14:00,17:13,3:13
20240511005,LG,1,0,0,0,1,0,1,0,0,0,-,-,-,-,-,-,-,-,-,2,12,1,5,2024,5,11,5,롯데,LG,0,사직,22758,17:02,20:43,3:41
20240511002,롯데,-1,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,1,8,1,3,2024,5,11,5,롯데,LG,0,사직,22758,17:02,20:43,3:41
20240511003,삼성,1,0,0,0,0,0,0,3,0,0,-,-,-,-,-,-,-,-,-,3,7,0,6,2024,5,11,5,NC,삼성,0,창원,17891,17:01,20:35,3:34
20240511009,NC,-1,0,0,0,2,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,8,0,5,2024,5,11,5,NC,삼성,0,창원,17891,17:01,20:35,3:34
20240512008,키움,-1,0,0,1,0,0,0,0,2,0,-,-,-,-,-,-,-,-,-,3,9,3,3,2024,5,12,6,한화,키움,0,한밭,12000,14:00,16:51,2:51
20240512004,한화,1,0,0,2,3,2,0,1,0,-,-,-,-,-,-,-,-,-,-,8,9,1,5,2024,5,12,6,한화,키움,0,한밭,12000,14:00,16:51,2:51
20240512110,KT,-1,2,0,0,0,0,0,0,2,0,-,-,-,-,-,-,-,-,-,4,6,1,2,2024,5,12,6,두산,KT,1,잠실,16308,14:00,16:49,2:49
20240512101,두산,1,0,5,2,0,1,0,3,1,-,-,-,-,-,-,-,-,-,-,12,14,0,10,2024,5,12,6,두산,KT,1,잠실,16308,14:00,16:49,2:49
20240512005,LG,1,1,0,1,1,0,0,0,3,0,-,-,-,-,-,-,-,-,-,6,11,0,5,2024,5,12,6,롯데,LG,0,사직,18914,14:00,17:24,3:24
20240512002,롯데,-1,2,1,0,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,4,9,2,7,2024,5,12,6,롯데,LG,0,사직,18914,14:00,17:24,3:24
20240512003,삼성,1,1,1,0,0,0,2,1,0,2,-,-,-,-,-,-,-,-,-,7,10,0,5,2024,5,12,6,NC,삼성,0,창원,16181,14:01,16:58,2:57
20240512009,NC,-1,0,0,0,2,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,7,0,1,2024,5,12,6,NC,삼성,0,창원,16181,14:01,16:58,2:57
20240512111,SSG,-1,0,0,0,1,0,0,1,0,0,-,-,-,-,-,-,-,-,-,2,5,0,4,2024,5,12,6,KIA,SSG,1,광주,20500,14:00,17:00,3:00
20240512106,KIA,1,0,0,0,2,0,0,1,0,-,-,-,-,-,-,-,-,-,-,3,8,2,4,2024,5,12,6,KIA,SSG,1,광주,20500,14:00,17:00,3:00
20240512210,KT,-1,0,0,0,0,0,0,2,1,1,-,-,-,-,-,-,-,-,-,4,11,0,3,2024,5,12,6,두산,KT,2,잠실,9026,17:30,20:30,3:00
20240512201,두산,1,3,0,4,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,8,11,1,8,2024,5,12,6,두산,KT,2,잠실,9026,17:30,20:30,3:00
20240512211,SSG,1,2,0,0,1,0,1,2,2,2,-,-,-,-,-,-,-,-,-,10,13,0,9,2024,5,12,6,KIA,SSG,2,광주,12743,17:39,21:49,4:10
20240512206,KIA,-1,2,0,3,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,6,11,3,4,2024,5,12,6,KIA,SSG,2,광주,12743,17:39,21:49,4:10
20240514009,NC,0,0,0,0,0,1,1,3,0,0,0,0,0,-,-,-,-,-,-,5,12,0,9,2024,5,14,1,한화,NC,0,한밭,12000,18:30,22:59,4:29
