idx,hit,bat_num,team,year,month,day,home,away,r,result,runs_allowed,avg_runs_scored_15,avg_runs_allowed_15,team_avg_15
20250308006,4,31,KIA,2025,3,8,롯데,KIA,3,-1,4,,,
20250310006,8,34,KIA,2025,3,10,NC,KIA,3,-1,6,,,
20250311006,17,46,KIA,2025,3,11,NC,KIA,17,1,10,,,
20250313006,8,34,KIA,2025,3,13,두산,KIA,4,1,1,,,
20250315006,8,30,KIA,2025,3,15,KIA,삼성,5,1,1,,,
20250316006,19,44,KIA,2025,3,16,KIA,삼성,11,1,5,,,
20250322006,12,35,KIA,2025,3,22,KIA,NC,9,1,2,,,
20250323006,6,34,KIA,2025,3,23,KIA,NC,4,-1,5,,,
20250325006,17,40,KIA,2025,3,25,KIA,키움,11,1,6,,,
20250326006,13,41,KIA,2025,3,26,KIA,키움,10,-1,17,,,
20250327006,6,31,KIA,2025,3,27,KIA,키움,3,-1,5,,,
20250328006,8,33,KIA,2025,3,28,한화,KIA,2,-1,7,,,
20250329006,6,30,KIA,2025,3,29,한화,KIA,4,-1,5,,,
20250330006,11,35,KIA,2025,3,30,한화,KIA,5,1,3,,,
20250402006,4,31,KIA,2025,4,2,KIA,삼성,2,-1,4,,,
20250403006,4,28,KIA,2025,4,3,KIA,삼성,3,1,1,6.2,5.4,0.277882797731569
20250404006,10,37,KIA,2025,4,4,LG,KIA,2,-1,8,6.2,5.2,0.279467680608365
20250406006,4,30,KIA,2025,4,6,LG,KIA,1,-1,5,6.133333333333334,5.333333333333333,0.28166351606805295
20250408006,8,37,KIA,2025,4,8,롯데,KIA,5,1,4,5.066666666666666,5.0,0.2651072124756335
20250409006,6,33,KIA,2025,4,9,롯데,KIA,3,1,1,5.133333333333334,5.2,0.26356589147286824
20250410006,6,32,KIA,2025,4,10,롯데,KIA,3,-1,8,5.0,5.2,0.2581888246628131
20250411006,7,32,KIA,2025,4,11,KIA,SSG,3,-1,9,4.466666666666667,5.4,0.23865877712031558
20250413006,14,35,KIA,2025,4,13,KIA,SSG,11,1,5,4.066666666666666,5.866666666666666,0.23015873015873015
20250415006,5,30,KIA,2025,4,15,KIA,KT,1,1,0,4.533333333333333,5.866666666666666,0.24554455445544554
20250416006,1,27,KIA,2025,4,16,KIA,KT,0,-1,3,3.8666666666666667,5.466666666666667,0.22626262626262628
20250417006,13,35,KIA,2025,4,17,KIA,KT,5,1,4,3.2,4.533333333333333,0.2079002079002079
20250418006,3,29,KIA,2025,4,18,두산,KIA,1,-1,7,3.3333333333333335,4.466666666666667,0.22061855670103092
20250419006,10,35,KIA,2025,4,19,두산,KIA,8,1,4,3.2666666666666666,4.466666666666667,0.21205821205821207
20250420006,9,37,KIA,2025,4,20,두산,KIA,6,1,2,3.533333333333333,4.4,0.21810699588477367
20250423006,8,33,KIA,2025,4,23,삼성,KIA,2,-1,7,3.6,4.333333333333333,0.21311475409836064
20250424006,10,37,KIA,2025,4,24,삼성,KIA,5,-1,17,3.6,4.533333333333333,0.22040816326530613
20250425006,11,37,KIA,2025,4,25,KIA,LG,5,-1,6,3.7333333333333334,5.6,0.22845691382765532
20250426006,11,34,KIA,2025,4,26,KIA,LG,8,1,4,3.933333333333333,5.466666666666667,0.23046092184368738
20250427006,9,30,KIA,2025,4,27,KIA,LG,3,1,2,4.4,5.4,0.24254473161033796
20250429006,14,36,KIA,2025,4,29,KIA,NC,13,1,3,4.266666666666667,5.266666666666667,0.24798387096774194
20250430006,5,29,KIA,2025,4,30,KIA,NC,0,-1,7,4.933333333333334,5.4,0.2625250501002004
20250502006,6,38,KIA,2025,5,2,KIA,한화,2,-1,3,4.733333333333333,5.333333333333333,0.2620967741935484
20250504006,3,30,KIA,2025,5,4,KIA,한화,1,-1,3,4.666666666666667,4.933333333333334,0.25697211155378485
20250505006,15,41,KIA,2025,5,5,키움,KIA,13,1,1,4.0,4.8,0.23742454728370221
20250506006,9,33,KIA,2025,5,6,키움,KIA,5,1,3,4.8,4.866666666666666,0.25196850393700787
20250507006,10,36,KIA,2025,5,7,키움,KIA,10,-1,11,5.133333333333334,4.866666666666666,0.26459143968871596
20250510006,3,26,KIA,2025,5,10,SSG,KIA,5,1,4,5.466666666666667,5.333333333333333,0.258252427184466
20250511106,7,34,KIA,2025,5,11,SSG,KIA,4,-1,8,5.733333333333333,5.133333333333334,0.259765625
20250511106,7,34,KIA,2025,5,11,SSG,KIA,4,-1,1,5.466666666666667,5.4,0.25440313111545987
20250511106,7,34,KIA,2025,5,11,SSG,KIA,4,-1,5,5.333333333333333,5.333333333333333,0.25196850393700787
20250511206,1,30,KIA,2025,5,11,SSG,KIA,1,-1,4,5.466666666666667,5.2,0.24950884086444008
20250511206,1,30,KIA,2025,5,11,SSG,KIA,1,-1,8,5.2,4.333333333333333,0.2350597609561753
20250511206,1,30,KIA,2025,5,11,SSG,KIA,1,-1,5,4.933333333333334,4.466666666666667,0.21818181818181817
20250513006,8,30,KIA,2025,5,13,KIA,롯데,4,1,1,4.466666666666667,4.533333333333333,0.19959266802443992
20250514006,8,34,KIA,2025,5,14,KIA,롯데,0,-1,4,4.533333333333333,4.466666666666667,0.1975560081466395
20250515006,12,34,KIA,2025,5,15,KIA,롯데,7,1,6,3.6666666666666665,4.533333333333333,0.18609406952965235
20250517106,9,33,KIA,2025,5,17,KIA,두산,5,1,2,4.133333333333334,4.466666666666667,0.19838056680161945
20250517106,9,33,KIA,2025,5,17,KIA,두산,5,1,1,4.333333333333333,4.4,0.2065439672801636
20250517106,9,33,KIA,2025,5,17,KIA,두산,5,1,4,4.6,4.266666666666667,0.21747967479674796
20250517206,8,32,KIA,2025,5,17,KIA,두산,4,1,2,4.066666666666666,4.466666666666667,0.20867768595041322
20250517206,8,32,KIA,2025,5,17,KIA,두산,4,1,5,4.0,4.4,0.2070393374741201
20250517206,8,32,KIA,2025,5,17,KIA,두산,4,1,1,3.6,4.0,0.2045929018789144
20250518006,9,36,KIA,2025,5,18,KIA,두산,5,1,4,3.533333333333333,3.8,0.21237113402061855
20250520006,9,34,KIA,2025,5,20,KT,KIA,3,-1,5,3.6,3.533333333333333,0.21560574948665298
20250521006,10,35,KIA,2025,5,21,KT,KIA,1,-1,3,3.533333333333333,3.8,0.21971252566735114
20250522006,14,39,KIA,2025,5,22,KT,KIA,8,1,3,3.3333333333333335,3.6666666666666665,0.22540983606557377
20250523006,13,39,KIA,2025,5,23,삼성,KIA,7,1,6,3.8,3.6,0.24748490945674045
20250524006,9,37,KIA,2025,5,24,삼성,KIA,4,-1,8,4.2,3.466666666666667,0.26679841897233203
20250525006,7,35,KIA,2025,5,25,삼성,KIA,2,-1,3,4.4,3.6666666666666665,0.2787524366471735
20250527006,14,36,KIA,2025,5,27,KIA,키움,7,1,5,4.266666666666667,3.8,0.27413127413127414
20250528006,17,40,KIA,2025,5,28,KIA,키움,13,1,7,4.733333333333333,3.8666666666666667,0.2846153846153846
20250530006,5,32,KIA,2025,5,30,KT,KIA,1,-1,3,5.133333333333334,3.933333333333333,0.2908745247148289
20250531006,5,33,KIA,2025,5,31,KT,KIA,1,-1,5,4.866666666666666,4.0,0.2838095238095238
20250601006,13,39,KIA,2025,6,1,KT,KIA,5,1,3,4.6,4.266666666666667,0.2761904761904762
20250603006,13,36,KIA,2025,6,3,두산,KIA,11,1,3,4.6,4.2,0.2806026365348399
20250604006,9,35,KIA,2025,6,4,두산,KIA,8,1,3,5.066666666666666,4.266666666666667,0.28785046728971964
20250605006,9,40,KIA,2025,6,5,두산,KIA,1,-1,2,5.333333333333333,4.133333333333334,0.28810408921933084
20250606006,9,30,KIA,2025,6,6,KIA,한화,3,1,2,5.133333333333334,4.2,0.2857142857142857
20250607006,3,32,KIA,2025,6,7,KIA,한화,2,-1,3,5.0,4.066666666666666,0.28888888888888886
20250608006,11,40,KIA,2025,6,8,KIA,한화,7,1,6,4.933333333333334,3.933333333333333,0.2788104089219331
20250610006,4,32,KIA,2025,6,10,KIA,삼성,0,-1,8,5.333333333333333,4.133333333333334,0.27808471454880296
20250611006,7,32,KIA,2025,6,11,KIA,삼성,6,1,3,4.8,4.466666666666667,0.2630597014925373
20250612006,11,36,KIA,2025,6,12,KIA,삼성,1,-1,2,4.733333333333333,4.266666666666667,0.2551984877126654
20250613006,5,18,KIA,2025,6,13,NC,KIA,1,-1,4,4.533333333333333,3.8666666666666667,0.25946969696969696
20250614006,8,33,KIA,2025,6,14,NC,KIA,9,1,8,4.466666666666667,3.933333333333333,0.26418786692759294
20250615006,9,35,KIA,2025,6,15,NC,KIA,4,1,2,4.6,4.133333333333334,0.25393700787401574
20250617006,13,37,KIA,2025,6,17,KIA,KT,10,1,3,4.0,3.8,0.24055666003976142
20250618006,11,35,KIA,2025,6,18,KIA,KT,5,1,3,4.6,3.8,0.25393700787401574
20250619006,9,32,KIA,2025,6,19,KIA,KT,5,1,0,4.866666666666666,3.6666666666666665,0.2647058823529412
20250622006,10,36,KIA,2025,6,22,SSG,KIA,5,1,4,4.866666666666666,3.466666666666667,0.26043737574552683
20250624006,9,35,KIA,2025,6,24,키움,KIA,6,-1,9,4.466666666666667,3.533333333333333,0.2544731610337972
20250625006,12,38,KIA,2025,6,25,키움,KIA,6,1,3,4.333333333333333,3.933333333333333,0.2544731610337972
20250627006,8,35,KIA,2025,6,27,LG,KIA,3,-1,4,4.666666666666667,4.0,0.26147704590818366
20250628006,14,39,KIA,2025,6,28,LG,KIA,9,1,8,4.666666666666667,4.133333333333334,0.25691699604743085
20250629006,13,38,KIA,2025,6,29,LG,KIA,12,1,2,5.133333333333334,4.466666666666667,0.27485380116959063
20250701006,6,28,KIA,2025,7,1,KIA,SSG,3,1,2,5.466666666666667,4.2,0.27984344422700586
20250702006,12,38,KIA,2025,7,2,KIA,SSG,5,-1,8,5.666666666666667,3.8,0.2859960552268245
20250703006,8,31,KIA,2025,7,3,KIA,SSG,3,1,2,5.6,4.133333333333334,0.29239766081871343
20250704006,11,32,KIA,2025,7,4,KIA,롯데,7,1,5,5.733333333333333,4.133333333333334,0.28937007874015747
20250705006,17,36,KIA,2025,7,5,KIA,롯데,13,1,0,6.133333333333334,4.2,0.29310344827586204
20250706006,8,34,KIA,2025,7,6,KIA,롯데,2,-1,5,6.4,3.6666666666666665,0.30857142857142855
