Year,Team,Games,W,L,D,BA,ERA,WPCT
1982,OB 베어스,80,56,24,0,283,3.20,700
1982,삼성 라이온즈,80,54,26,0,266,2.70,675
1982,MBC 청룡,80,46,34,0,282,3.51,575
1982,해태 타이거즈,80,38,42,0,261,3.79,475
1982,롯데 자이언츠,80,31,49,0,256,3.95,388
1982,삼미 슈퍼스타즈,80,15,65,0,240,6.23,188
1983,해태 타이거즈,100,55,44,1,268,3.17,556
1983,MBC 청룡,100,55,43,2,255,2.71,561
1983,삼미 슈퍼스타즈,100,52,47,1,245,3.04,525
1983,삼성 라이온즈,100,46,50,4,263,3.42,479
1983,OB 베어스,100,44,55,1,259,3.52,444
1983,롯데 자이언츠,100,43,56,1,244,3.79,434
1984,롯데 자이언츠,100,50,48,2,257,3.31,510
1984,삼성 라이온즈,100,55,45,0,270,3.35,550
1984,OB 베어스,100,58,41,1,256,2.53,586
1984,MBC 청룡,100,51,48,1,253,3.18,515
1984,해태 타이거즈,100,43,54,3,248,3.16,443
1984,삼미 슈퍼스타즈,100,38,59,3,237,4.05,392
1985,삼성 라이온즈,110,77,32,1,276,2.98,706
1985,롯데 자이언츠,110,59,51,0,256,3.05,536
1985,해태 타이거즈,110,57,52,1,272,3.64,523
1985,OB 베어스,110,51,57,2,260,3.14,472
1985,MBC 청룡,110,44,65,1,246,3.24,404
1985,청보 핀토스,110,39,70,1,252,4.87,358
1986,해태 타이거즈,108,67,37,4,259,2.86,644
1986,삼성 라이온즈,108,70,37,1,276,2.95,654
1986,MBC 청룡,108,59,41,8,265,2.79,590
1986,OB 베어스,108,56,48,4,249,2.61,538
1986,롯데 자이언츠,108,50,52,6,248,2.74,490
1986,청보 핀토스,108,32,74,2,219,3.99,302
1986,빙그레 이글스,108,31,76,1,236,3.65,290
1987,해태 타이거즈,108,55,48,5,252,3.16,532
1987,삼성 라이온즈,108,64,44,0,300,3.58,593
1987,롯데 자이언츠,108,54,49,5,268,3.36,523
1987,OB 베어스,108,55,52,1,261,3.26,514
1987,MBC 청룡,108,50,51,7,258,3.36,495
1987,빙그레 이글스,108,47,57,4,274,3.78,454
1987,청보 핀토스,108,41,65,2,242,4.36,389
1988,해태 타이거즈,108,68,38,2,283,2.86,639
1988,빙그레 이글스,108,62,45,1,266,3.72,579
1988,롯데 자이언츠,108,57,49,2,270,3.63,537
1988,삼성 라이온즈,108,56,50,2,278,4.18,528
1988,OB 베어스,108,54,52,2,258,3.73,509
1988,MBC 청룡,108,40,64,4,260,3.96,389
1988,태평양 돌핀스,108,34,73,1,261,4.57,319
1989,해태 타이거즈,120,65,51,4,255,3.34,558
1989,빙그레 이글스,120,71,46,3,276,3.47,604
1989,태평양 돌핀스,120,62,54,4,249,3.03,533
1989,삼성 라이온즈,120,57,58,5,272,4.42,496
