Year,Rank,TeamID,Team,Games,W,L,D,BA,ERA,WPCT,PS,oWAR,OPS,wRC+,R,pWAR_sum,FIP,WHIP,Total_RA,Pyth_WPCT
1982,1,OB,OB 베어스,80,56,24,0,283,3.2,700,1,17.330000000000002,0.7191111111111111,98.52777777777777,399.0,17.34,3.8957142857142855,1.3671428571428572,318.0,611.5471045784633
1982,2,SS,삼성 라이온즈,80,54,26,0,266,2.7,675,2,18.78,0.6898235294117647,95.81176470588235,414.0,22.14,3.965,1.3816666666666666,257.0,721.8345300986678
1982,3,LG,MBC 청룡,80,46,34,0,282,3.51,575,0,17.99,0.6922222222222223,86.57777777777777,419.0,14.44,4.03875,1.42625,350.0,589.0103032580948
1982,4,HT,해태 타이거즈,80,38,42,0,261,3.79,475,0,13.8,0.6304666666666667,70.81333333333333,373.0,6.81,4.38,1.564,344.0,540.3802458565615
1982,5,LT,롯데 자이언츠,80,31,49,0,256,3.95,388,0,13.64,0.6793571428571428,88.99285714285715,350.0,9.65,4.18,1.73875,385.0,452.48868778113405
1982,6,WO,삼미 슈퍼스타즈,80,15,65,0,240,6.23,188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,1,LG,MBC 청룡,100,55,43,2,255,2.71,561,2,14.99,0.564391304347826,49.93478260869565,412.0,15.35,3.9579999999999997,1.476,335.0,601.9952547953782
1983,2,HT,해태 타이거즈,100,55,44,1,268,3.17,556,1,20.35,0.6138888888888889,74.31666666666666,422.0,15.89,3.7800000000000002,2.1855555555555557,384.0,547.0418381748877
1983,3,WO,삼미 슈퍼스타즈,100,52,47,1,245,3.04,525,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,4,SS,삼성 라이온즈,100,46,50,4,263,3.42,479,0,23.36,0.6393809523809524,84.39047619047619,448.0,13.29,3.63,1.37875,418.0,534.6005092839783
1983,5,OB,OB 베어스,100,44,55,1,259,3.52,444,0,17.5,0.5933333333333333,68.21111111111111,418.0,9.79,3.914444444444444,1.3766666666666667,432.0,483.53387869731245
1983,6,LT,롯데 자이언츠,100,43,56,1,244,3.79,434,0,15.299999999999999,0.5692,59.67,365.0,7.4399999999999995,4.449999999999999,1.508888888888889,464.0,382.2581709556031
1984,1,OB,OB 베어스,100,58,41,1,256,2.53,586,0,17.95,0.56948,59.628,382.0,21.54,3.8025,1.2825,298.0,621.6727446209159
