Id,Name,Birthdate,Handedness,School,Draft,Year,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
1001,구천서,1963년 08월 15일,우투우타,옥산초-경운중-신일고,82 OB 창단 멤버,12시즌,2B,840,8.07,3.37,2235,2156,1864,269,455,61,16,22,614,177,75,37,245,35,4,330,29,75,16,0.244,0.340,0.329,0.669,0.125,92.6,11.44
1002,권두조,1951년 06월 10일,우투우타,부산중앙초-부산동성중-부경고-중앙대,82 롯데 창단 멤버,6시즌,2B,588,-0.25,1.81,1884,1788,1603,149,352,53,9,1,426,112,24,31,157,22,1,159,34,94,7,0.220,0.297,0.266,0.563,0.083,63.2,1.56
1003,금광옥,1956년 12월 19일,우투우타,동산고,82 삼미 창단 멤버,7시즌,C,413,3.49,2.80,1294,1281,1164,113,273,47,4,29,415,125,6,8,105,8,1,169,22,12,5,0.235,0.301,0.357,0.658,0.088,85.7,6.29
1004,김경남,1959년 11월 05일,우투우타,창영초-상인천중-인천고-인하대,82 삼미 창단 멤버,7시즌,2B,360,-1.48,1.44,936,908,852,71,178,33,8,7,248,61,6,5,47,4,0,120,26,28,5,0.209,0.252,0.291,0.543,0.078,47.6,-0.03
1005,김봉연,1952년 01월 13일,우투우타,군산상고-연세대,82 해태 창단 멤버,7시즌,DH,630,21.88,-7.02,2438,2404,2145,311,596,84,8,110,1026,334,24,18,241,21,15,187,59,16,12,0.278,0.355,0.478,0.833,0.129,137.0,14.86
1006,김성관,1952년 07월 06일,우투우타,경남고-고려대,82 롯데 창단 멤버,3시즌,LF,171,1.73,-0.75,555,548,499,56,124,25,5,8,183,61,25,10,34,13,0,45,15,6,2,0.248,0.312,0.367,0.679,0.102,87.8,0.98
1007,김용달,1956년 05월 10일,우투우타,대구인지초-대구중앙중-대광고-중앙대,82 MBC 창단 멤버,7시즌,3B,315,4.13,-1.92,681,671,591,66,153,28,4,12,225,72,7,5,77,2,3,102,24,7,4,0.259,0.344,0.381,0.725,0.098,112.0,2.21
1008,김용운,1955년 06월 05일,우투우타,한밭중-서울동산고,82 MBC 창단 멤버,9시즌,C,592,0.70,1.68,1660,1593,1484,127,367,52,4,9,454,160,10,11,82,17,2,129,52,65,12,0.247,0.292,0.306,0.598,0.080,63.7,2.37
1009,김용철,1957년 09월 21일,우투우타,대신중-부산상고,82 롯데 창단 멤버,11시즌,2B,1025,33.00,-5.73,3865,3826,3415,479,968,192,10,131,1573,555,74,42,369,29,18,382,110,19,31,0.283,0.355,0.461,0.816,0.125,132.8,27.26
1010,김우근,1956년 01월 26일,우투우타,군산상고-건국대,82 해태 창단 멤버,6시즌,CF,397,4.39,0.59,1202,1165,1043,142,264,35,8,11,348,85,65,25,111,9,4,111,24,33,6,0.253,0.328,0.334,0.662,0.122,91.0,4.99
1011,김우열,1949년 09월 09일,우투우타,서울금양초-선린중-선린고,82 OB 창단 멤버,5시즌,CF,343,11.74,-0.63,1256,1242,1076,160,299,45,6,41,479,173,43,16,155,16,12,141,15,2,7,0.278,0.375,0.445,0.820,0.129,139.2,11.11
1012,김인식,1953년 11월 09일,우투우타,청원고-성균관대,82 MBC 창단 멤버,7시즌,3B,662,2.32,1.04,2410,2338,2167,260,553,67,11,11,675,154,99,46,107,60,3,110,38,68,7,0.255,0.308,0.311,0.619,0.111,68.4,3.36
1013,김일권,1956년 09월 20일,우투우타,군산남초-군산남중-군산상고-한양대,82 해태 창단 멤버,10시즌,CF,841,8.42,0.44,3196,3115,2817,364,713,102,16,28,931,243,363,146,267,22,11,187,55,70,20,0.253,0.321,0.330,0.651,0.117,86.1,8.86
1014,김정수,1953년 04월 02일,좌투좌타,부산고-한양대,82 롯데 창단 멤버,5시즌,1B,346,5.92,-0.59,1150,1135,966,129,226,46,6,23,353,113,20,18,156,7,2,137,14,12,8,0.234,0.342,0.365,0.707,0.114,108.6,5.33
1015,김준환,1955년 05월 19일,우투우타,군산남중-군산상고,82 해태 창단 멤버,8시즌,LF,670,11.81,-4.98,2408,2383,2170,255,588,76,7,61,861,285,41,24,171,17,5,261,68,19,30,0.271,0.325,0.397,0.722,0.107,103.1,6.84
1016,배대웅,1954년 03월 02일,우투우타,경북고,82 삼성 창단 멤버,5시즌,SS,356,3.88,-0.15,930,899,822,85,213,32,3,11,284,83,24,7,72,4,1,52,16,30,2,0.259,0.321,0.345,0.666,0.095,93.1,3.73
1017,백인천,1943년 11월 27일,우투우타,경동고,82 MBC 창단 멤버(감독 겸 선수),3시즌,LF,116,6.85,-1.06,468,457,403,67,135,31,2,23,239,91,13,3,56,4,10,29,11,1,4,0.335,0.418,0.593,1.011,0.147,184.4,5.80
1018,송경섭,1960년 11월 26일,우투우타,인천고-인하대,82 삼미 창단 멤버,1시즌,3B,53,-0.26,-0.13,172,171,152,9,30,9,1,2,47,20,2,1,12,5,0,41,4,1,2,0.197,0.275,0.309,0.584,0.053,48.5,-0.39
1019,신경식,1961년 08월 19일,좌투좌타,부산동성초-부산동성중-공주고,82 OB 창단 멤버,14시즌,1B,1366,24.28,-4.55,5180,5095,4650,559,1282,208,38,56,1734,559,155,77,384,54,40,347,72,44,47,0.276,0.335,0.373,0.708,0.110,100.8,19.73
1020,양세종,1958년 01월 17일,우투우타,장충고-연세대,82 OB 창단 멤버,7시즌,3B,492,6.52,-1.07,1649,1633,1490,166,403,64,11,27,570,199,36,32,114,17,8,157,41,8,20,0.270,0.325,0.383,0.708,0.102,97.1,5.45
1021,양승관,1959년 06월 02일,우투우타,인천숭의초-동인천중-인천고-인하대,82 삼미 창단 멤버,8시즌,RF,446,4.64,0.68,1473,1447,1334,150,330,66,6,31,501,155,14,19,99,12,6,202,29,20,8,0.247,0.304,0.376,0.680,0.104,90.6,5.32
1022,오대석,1960년 01월 02일,우투우타,남도초-경구중-대구상고-한양대,82 삼성 창단 멤버,10시즌,2B,723,11.11,-2.43,2410,2344,2055,249,514,77,7,36,713,248,41,20,250,22,5,264,47,59,22,0.250,0.335,0.347,0.682,0.106,97.6,8.69
