Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
1038,박영진,1958년 07월 27일,우투우타,대구상고-성균관대,82 삼성 창단 멤버,1982,삼성,24,P,5,1,4,3,0,0,0,0,1,0,8.1,8,9,9,43,16,,,2,4,1,0,3,,1,0,8.64,9.72,9.72,6.51,2.4,-0.17
1038,박영진,1958년 07월 27일,우투우타,대구상고-성균관대,82 삼성 창단 멤버,1984,삼성,26,P,1,0,1,0,0,0,0,0,0,0,1,2,2,2,6,3,,,0,1,0,1,0,,0,0,18,18,18,2.43,4,-0.06
1057,김동철,1960년 06월 05일,우투우타,동산고,82 삼미 창단 멤버,1982,삼미,22,P,32,15,17,10,0,0,1,9,1,0,93,73,84,84,441,125,,,15,52,6,0,19,,1,2,7.06,8.13,8.13,6.04,1.9,-1.33
1059,김용남,1958년 02월 26일,우투우타,군산초-군산중-군산상고-한양대,82 해태 창단 멤버,1982,해태,24,P,33,17,16,19,8,1,9,12,0,0,175,60,83,83,740,177,,,12,42,9,2,85,,0,4,3.09,4.27,4.27,3.17,1.25,3.34
1059,김용남,1958년 02월 26일,우투우타,군산초-군산중-군산상고-한양대,82 해태 창단 멤버,1983,해태,25,P,36,22,14,18,6,3,13,10,1,0,181.1,57,67,67,731,171,,,12,30,5,4,80,,0,1,2.83,3.33,3.33,2.56,1.11,4.58
1059,김용남,1958년 02월 26일,우투우타,군산초-군산중-군산상고-한양대,82 해태 창단 멤버,1984,해태,26,P,31,21,10,12,6,2,7,11,1,0,132.2,45,58,58,547,133,,,10,19,1,0,68,,0,1,3.05,3.93,3.93,2.52,1.15,2.02
1059,김용남,1958년 02월 26일,우투우타,군산초-군산중-군산상고-한양대,82 해태 창단 멤버,1985,해태,27,P,43,10,33,20,1,0,11,6,8,0,134.2,67,74,74,560,147,,,14,26,3,2,74,,0,1,4.48,4.95,4.95,2.95,1.28,0.62
1059,김용남,1958년 02월 26일,우투우타,군산초-군산중-군산상고-한양대,82 해태 창단 멤버,1986,해태,28,P,13,2,11,7,0,0,0,0,2,0,30.2,16,19,19,143,45,,,2,6,0,1,22,,0,0,4.7,5.58,5.58,1.81,1.66,-0.2
1059,김용남,1958년 02월 26일,우투우타,군산초-군산중-군산상고-한양대,82 해태 창단 멤버,1987,빙그레,29,P,16,12,4,7,4,0,4,5,0,0,87.2,46,48,48,383,111,,,8,19,2,0,37,,0,0,4.72,4.93,4.93,3.47,1.48,0.56
1059,김용남,1958년 02월 26일,우투우타,군산초-군산중-군산상고-한양대,82 해태 창단 멤버,1988,빙그레,30,P,27,16,11,9,1,0,8,6,1,0,122.2,56,67,67,525,150,,,9,25,2,1,41,,0,1,4.11,4.92,4.92,3.53,1.43,1.05
1071,박상열,1955년 08월 05일,우투우타,동대문상고,82 OB 창단 멤버,1982,OB,27,P,25,10,15,6,3,0,10,5,0,0,111,52,70,70,480,120,,,7,34,9,0,35,,3,0,4.22,5.68,5.68,3.86,1.39,0.53
1071,박상열,1955년 08월 05일,우투우타,동대문상고,82 OB 창단 멤버,1983,OB,28,P,30,20,10,17,7,1,10,9,0,0,173.1,48,57,57,716,162,,,11,44,14,3,68,,2,0,2.49,2.96,2.96,3.11,1.19,4.69
1071,박상열,1955년 08월 05일,우투우타,동대문상고,82 OB 창단 멤버,1984,OB,29,P,30,22,8,6,1,0,12,7,0,0,133,38,42,42,532,108,,,8,49,10,0,47,,0,1,2.57,2.84,2.84,3.64,1.18,3.58
1071,박상열,1955년 08월 05일,우투우타,동대문상고,82 OB 창단 멤버,1985,OB,30,P,22,19,3,5,2,0,3,6,0,0,109,50,55,55,462,109,,,6,41,5,0,25,,1,1,4.13,4.54,4.54,3.85,1.38,0.97
1071,박상열,1955년 08월 05일,우투우타,동대문상고,82 OB 창단 멤버,1986,OB,31,P,17,7,10,5,1,0,0,6,1,0,64.1,28,31,31,278,66,,,3,28,6,0,15,,0,1,3.92,4.34,4.34,3.94,1.46,0.19
1071,박상열,1955년 08월 05일,우투우타,동대문상고,82 OB 창단 멤버,1987,OB,32,P,16,8,8,6,0,0,3,3,1,0,58.2,25,32,32,273,73,,,2,26,3,0,15,,1,0,3.84,4.91,4.91,4,1.69,0.08
1071,박상열,1955년 08월 05일,우투우타,동대문상고,82 OB 창단 멤버,1988,OB,33,P,13,6,7,4,0,0,0,3,0,0,46.2,29,34,34,216,53,,,9,23,4,0,12,,0,1,5.59,6.56,6.56,6.28,1.63,-0.48
1076,방수원,1960년 01월 04일,우투우타,광주서림초-광주동성중-광주제일고-영남대,82 해태 창단 멤버,1982,해태,22,P,34,15,19,18,2,0,6,7,1,0,154.1,66,84,84,664,164,,,10,48,8,3,63,,2,0,3.85,4.9,4.9,3.51,1.37,1.93
1076,방수원,1960년 01월 04일,우투우타,광주서림초-광주동성중-광주제일고-영남대,82 해태 창단 멤버,1983,해태,23,P,32,12,20,6,1,0,3,5,3,0,94,51,62,62,434,101,,,5,49,9,0,30,,0,3,4.88,5.94,5.94,4.1,1.6,-0.17
1076,방수원,1960년 01월 04일,우투우타,광주서림초-광주동성중-광주제일고-영남대,82 해태 창단 멤버,1984,해태,24,P,25,14,11,6,1,1,1,8,0,0,66,28,39,39,280,64,,,2,20,6,0,30,,0,0,3.82,5.32,5.32,2.88,1.27,0.06
