Id,Name,Birthdate,Handedness,School,Draft,Year,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
1038,박영진,1958년 07월 27일,우투우타,대구상고-성균관대,82 삼성 창단 멤버,2시즌,P,6,1,5,3,0,0,0,0,1,0,9.1,10,11,11.00,49,19,,,2,5,1,1,3,,1,0,9.64,10.61,10.61,6.08,2.57,-0.23
1057,김동철,1960년 06월 05일,우투우타,동산고,82 삼미 창단 멤버,1시즌,P,32,15,17,10,0,0,1,9,1,0,93.0,73,84,84.00,441,125,,,15,52,6,0,19,,1,2,7.06,8.13,8.13,6.04,1.90,-1.33
1059,김용남,1958년 02월 26일,우투우타,군산초-군산중-군산상고-한양대,82 해태 창단 멤버,7시즌,P,199,100,99,92,26,6,52,50,13,0,864.2,347,416,416.00,3629,934,,,67,167,22,10,407,,0,8,3.61,4.33,4.33,2.94,1.27,11.97
1071,박상열,1955년 08월 05일,우투우타,동대문상고,82 OB 창단 멤버,7시즌,P,153,92,61,49,14,1,38,39,2,0,696.0,270,321,321.00,2957,691,,,46,245,51,3,217,,7,4,3.49,4.15,4.15,3.81,1.34,9.56
1076,방수원,1960년 01월 04일,우투우타,광주서림초-광주동성중-광주제일고-영남대,82 해태 창단 멤버,8시즌,P,197,48,149,94,4,1,18,29,18,0,599.2,248,306,306.00,2566,599,,,32,210,34,6,237,,4,3,3.72,4.59,4.59,3.48,1.35,6.14
1079,송진호,1957년 08월 16일,우투우타,대구상고-건국대,82 삼성 창단 멤버,5시즌,P,36,6,30,19,0,0,0,3,2,0,86.2,55,62,62.00,397,94,,,5,51,8,2,30,,0,4,5.71,6.44,6.44,4.27,1.67,-0.60
1081,신태중,1955년 06월 27일,우투우타,고려대,82 해태 창단 멤버,5시즌,P,67,18,49,28,1,0,5,14,5,0,203.2,130,166,166.00,948,243,,,29,115,17,1,92,,2,15,5.74,7.34,7.34,5.03,1.76,-2.85
1085,이상윤,1960년 12월 21일,우투우타,광주서림초-광주제일고,82 해태 창단 멤버,8시즌,P,175,114,61,81,33,6,65,46,14,0,843.2,293,345,345.00,3536,702,,,46,381,23,13,483,,3,15,3.13,3.68,3.68,3.16,1.28,16.87
1087,이윤섭,1958년 03월 01일,좌투좌타,부산상고-고려대,82 롯데 창단 멤버,3시즌,P,22,4,18,13,0,0,0,3,0,0,38.1,33,39,39.00,187,66,,,9,12,0,0,10,,0,0,7.75,9.16,9.16,5.56,2.03,-0.89
1104,권영호,1954년 01월 23일,좌투좌타,성광중-영남대,82 삼성 창단 멤버,8시즌,P,288,86,202,175,18,5,56,49,100,0,1020.2,347,388,388.00,4210,884,,,77,387,24,21,422,,6,15,3.06,3.42,3.42,3.60,1.25,24.27
1105,박철순,1956년 03월 12일,우투우타,부산동광초-경남중-배명고-연세대,82 OB 창단 멤버,13시즌,P,231,133,98,105,29,7,76,53,20,0,1050.1,344,401,401.00,4338,908,,,43,391,30,10,648,,0,31,2.95,3.44,3.44,3.03,1.24,23.95
1106,선우대영,1957년 09월 12일,좌투좌타,성남중-서울고-중앙대,82 OB 창단 멤버,2시즌,P,44,32,12,16,11,2,11,12,1,0,234.2,94,109,109.00,974,236,,,21,59,10,2,103,,1,4,3.61,4.18,4.18,3.41,1.26,3.95
1107,유종겸,1956년 09월 14일,좌투좌타,장충중-장충고-중앙대,82 MBC 창단 멤버,9시즌,P,269,107,162,100,25,3,57,57,15,0,1039.1,370,439,439.00,4363,933,,,67,419,37,9,497,,1,29,3.20,3.80,3.80,3.46,1.30,14.70
